date,Close,High,Low,Open,Volume,aVWAP_peak_109,aVWAP_peak_93,aVWAP_peak_46,aVWAP_peak_20,aVWAP_valley_102,aVWAP_valley_63,aVWAP_valley_50,aVWAP_valley_28,aVWAP_OB_bull_102,aVWAP_OB_bull_50,aVWAP_OB_bear_3,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2025-01-28 00:00:00+00:00,19.2895293884,20.7057226853,18.6546841174,20.5592199305,12165197,,,,,,,,,,,,,,,#000000,,,
2025-01-29 00:00:00+00:00,20.0122763124,20.2076133188,19.2211614362,19.2895293884,3094343,,,,,,,,,,,,,,,#000000,,,
2025-01-30 00:00:00+00:00,21.2819668544,21.3112674054,20.0415768633,20.2662144208,3250156,,,,,,,,,,,,,,,#000000,,,
2025-01-31 00:00:00+00:00,20.998728195,21.5163712621,20.5592199305,21.4870707112,1881255,,,,,,,,,,,21.0247731292,,,,#000000,,,
2025-02-03 00:00:00+00:00,21.3112674054,21.4968375615,20.363882924,21.1354640995,1817992,,,,,,,,,,,21.04077283199099,,,,#000000,,,
2025-02-04 00:00:00+00:00,20.9791944944,21.3112674054,20.7106061105,21.2526663034,723301,,,,,,,,,,,21.03416272114254,,,,#000000,,,
2025-02-05 00:00:00+00:00,20.6373547331,21.0475624466,20.1880796182,20.998728195,891969,,,,,,,,,,,20.965378283860137,,,,#000000,,,
2025-02-06 00:00:00+00:00,20.2173801692,20.4908519782,19.6313691498,20.2076133188,1317638,,,,,,,,,,,20.79607254238663,,,,#000000,,,
2025-02-07 00:00:00+00:00,20.6275878827,20.7545569369,20.1197116659,20.2173801692,559487,,,,,,,,,,,20.773087177984273,,,,#000000,,,
2025-02-10 00:00:00+00:00,20.7643237873,20.998728195,20.6080541821,20.8326917395,442960,,,,,,,,,,,20.774089854024357,,,,#000000,,,
2025-02-11 00:00:00+00:00,20.7643237873,20.8131580389,20.1490122169,20.5299193795,594480,,,,,,,,,,,20.759743311258138,,,,#000000,,,
2025-02-12 00:00:00+00:00,20.998728195,21.0084950453,20.3248155227,20.3834166246,361762,,,,,,,,,,,20.76048457438581,,,,#000000,,,
2025-02-13 00:00:00+00:00,20.6861889847,21.0475624466,20.6373547331,21.0475624466,309419,,,,,,,,,,,20.761523501314777,,,,#000000,,,
2025-02-14 00:00:00+00:00,20.7350232363,20.9010596918,20.363882924,20.5689867808,219708,,,,,,,,,,,20.759238043797154,,,,#000000,,,
2025-02-18 00:00:00+00:00,20.9401270931,21.0475624466,20.6861889847,20.7545569369,359229,,,,,,,,,,,20.764242465363534,,,,#000000,,,
2025-02-19 00:00:00+00:00,20.969427644,21.028028746,20.7057226853,20.9010596918,516377,,,,,,,,,,,20.771310518455252,,,,#000000,,,
2025-02-20 00:00:00+00:00,20.8033911885,21.2232680839,20.5103856789,21.1159303989,475745,,,,,,,,,,,20.77468943223356,,,,#000000,,,
