date,Open,High,Low,Close,Volume,aVWAP_peak_606,aVWAP_peak_581,aVWAP_peak_537,aVWAP_peak_512,aVWAP_peak_511,aVWAP_peak_497,aVWAP_peak_462,aVWAP_peak_407,aVWAP_peak_359,aVWAP_peak_339,aVWAP_peak_299,aVWAP_peak_277,aVWAP_peak_220,aVWAP_valley_615,aVWAP_valley_594,aVWAP_valley_577,aVWAP_valley_556,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,8.13,8.245,8.1,8.195,21186.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,21186.0,False,False,False,False
2023-10-31 16:00:00+00:00,8.285,8.35,8.25,8.345,17279.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,17279.0,267.8914728682171,False,False,False,False,21125.42635658915,False,False,False,False
2023-11-01 16:00:00+00:00,7.86,8.01,7.47,7.62,39774.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-22495.0,-85.02157322276304,False,False,False,False,21414.55152935521,False,False,False,False
2023-11-02 16:00:00+00:00,7.42,7.75,7.4,7.73,29452.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,6957.0,24.15705581945035,False,False,False,False,21539.16313355125,False,False,False,False
2023-11-03 16:00:00+00:00,7.865,7.865,7.615,7.68,11857.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4900.0,-52.186464425812446,False,False,False,False,21389.052077217122,False,False,False,False
2023-11-06 16:00:00+00:00,7.52,7.67,7.505,7.66,9718.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-14618.0,-278.0130308688231,False,False,False,False,21208.1055333843,False,False,False,False
2023-11-06 20:00:00+00:00,7.665,7.675,7.595,7.6,9432.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-24050.0,-646.5709683747327,False,False,False,False,21025.530253796944,False,False,False,False
2023-11-07 16:00:00+00:00,7.3,7.38,7.275,7.31,6036.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-30086.0,-1102.9962246790005,False,False,False,False,20793.134435908618,False,False,False,False
2023-11-07 20:00:00+00:00,7.31,7.32,7.28,7.29,10144.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-40230.0,-1709.6164382498687,False,False,False,False,20628.031576437166,False,False,False,False
2023-11-08 16:00:00+00:00,7.155,7.205,7.095,7.175,11186.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-51416.0,-2480.2580438583977,False,False,False,False,20481.643489980775,False,False,False,False
2023-11-08 20:00:00+00:00,7.175,7.18,7.14,7.155,16776.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-68192.0,-3499.0447408528407,False,False,False,False,20424.19165292681,False,False,False,False
2023-11-09 16:00:00+00:00,7.245,7.26,7.04,7.05,29464.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-97656.0,-4958.842496808611,False,False,False,False,20564.343720323293,False,False,False,False
2023-11-09 20:00:00+00:00,7.045,7.07,7.02,7.04,21632.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-119288.0,-6731.38757437747,False,False,False,False,20580.896530860915,False,False,False,False
2023-11-10 16:00:00+00:00,7.035,7.21,7.02,7.135,12901.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-106387.0,-8276.435829038284,False,False,False,False,20461.828367591752,False,False,False,False
