date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_56,aVWAP_BoS_CHoCH_bull_217,aVWAP_BoS_CHoCH_bull_314,aVWAP_BoS_CHoCH_bull_403,aVWAP_BoS_CHoCH_bear_88,aVWAP_BoS_CHoCH_bear_132,aVWAP_BoS_CHoCH_bear_211,aVWAP_BoS_CHoCH_bear_241,aVWAP_BoS_CHoCH_bear_300,aVWAP_BoS_CHoCH_bear_412,aVWAP_BoS_CHoCH_bear_553,aVWAP_BoS_CHoCH_bear_675,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,14.7811804528,14.7811804528,14.5702718138,14.5790596737,340215,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,14.517544654,14.6054232536,14.3857267546,14.3945146146,341431,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,14.2539088552,14.732847223,14.2407270653,14.6669382733,284402,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,14.526332514,14.7636047329,14.4033024745,14.6845139933,328707,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,14.7636047329,14.8075440327,14.5966353937,14.7196654331,230042,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,14.8778469124,15.0975434114,14.7196654331,15.0360283917,452994,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,15.4139063699,15.4145215201,14.9129983522,15.1063312713,325565,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,16.4772374251,16.503601005,16.0114808472,16.1608744666,646611,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,16.2663287861,16.494813145,16.2487530662,16.4772374251,325254,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,16.5651160247,16.5826917446,16.2399652062,16.2575409261,293968,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,17.3032962614,17.6460227998,17.0089029527,17.6284470799,764453,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-19 00:00:00+00:00,17.9799614783,18.2348094171,17.821779999,18.2260215572,816036,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-20 00:00:00+00:00,17.9184464586,18.3139001568,17.8745071588,18.2875365769,553849,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,17.7690528392,18.2084458372,17.6855681696,18.0063250582,892636,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-24 00:00:00+00:00,17.1187512022,17.2329933817,16.512388865,17.2066298018,776687,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
