date,Open,High,Low,Close,Volume,aVWAP_peak_203,aVWAP_peak_186,aVWAP_peak_151,aVWAP_peak_129,aVWAP_peak_114,aVWAP_peak_107,aVWAP_peak_78,aVWAP_valley_193,aVWAP_valley_192,aVWAP_valley_176,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,18.61,18.64,18.52,18.59,3188.0,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,18.615,18.68,18.58,18.64,551.0,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,18.64,18.65,18.58,18.63,948.0,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,18.63,18.765,18.63,18.76,802.0,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,18.765,18.79,18.72,18.765,2553.0,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,18.765,18.785,18.73,18.765,1748.0,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,18.77,18.815,18.755,18.78,2447.0,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,18.78,18.79,18.67,18.705,3101.0,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,18.705,18.705,18.64,18.68,1706.0,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,18.68,18.695,18.58,18.585,1896.0,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,18.585,18.62,18.56,18.61,815.0,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,18.61,18.62,18.53,18.565,2198.0,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,18.56,18.61,18.525,18.575,2324.0,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,18.57,18.585,18.54,18.57,1930.0,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,18.57,18.575,18.475,18.485,2978.0,,,,,,,,,,,,,#000000
