date,Close,High,Low,Open,Volume,aVWAP_OB_bull_176,aVWAP_OB_bull_107,aVWAP_OB_bear_160,aVWAP_OB_bear_148,aVWAP_OB_bear_139,aVWAP_OB_bear_125,aVWAP_OB_bear_57,aVWAP_OB_bear_14,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,70.51,74.32,69.04,72.13,678639,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,678639.0,False,False,False,False
2022-01-07 00:00:00+00:00,59.24,71.45,59.02,71.24,1195146,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-1195146,-88529.33333333333,False,False,False,False,716898.7777777779,False,False,False,False
2022-01-14 00:00:00+00:00,54.25,60.22,53.0545,58.46,1320302,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-2515448,-268301.08641975303,False,False,False,False,761595.3127572017,False,False,False,False
2022-01-21 00:00:00+00:00,47.2,53.55,47.195,53.13,1118377,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-3633825,-517599.1540923639,False,False,False,False,788023.585886298,False,False,False,False
2022-01-28 00:00:00+00:00,42.7,47.48,39.8271,46.11,1402095,,,,,,,,,0.0,0.0,0.0,0.0,43.335699999999996,#000000,,43.335699999999996,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-5035920,-852289.5871225591,False,False,False,False,833510.3573021278,False,False,False,False
2022-02-04 00:00:00+00:00,42.86,46.57,42.32,42.32,925393,,,,,,,,,0.0,0.0,0.0,0.0,43.56668829577925,#000000,,43.56668829577925,,0.15385053003900376,-49.853361213556575,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-4110527,-1093640.506594962,False,False,False,False,840316.4789834516,False,False,False,False
2022-02-11 00:00:00+00:00,45.66,48.84,42.75,42.75,903824,,,,,,,,,0.0,0.0,0.0,0.0,44.17737816966194,#000000,,44.17737816966194,,2.809090935532618,-47.32799400976716,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-3206703,-1250163.6542545944,False,False,False,False,845020.7397994923,False,False,False,False
2022-02-18 00:00:00+00:00,43.74,48.37,43.67,45.62,689043,,,,,,,,,0.0,0.0,0.0,0.0,44.3676601706138,#000000,,44.3676601706138,,4.664925304372641,-45.65644409475098,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-3895746,-1446132.7169024022,False,False,False,False,833466.8331476781,False,False,False,False
2022-02-25 00:00:00+00:00,44.63,44.84,39.45,42.97,824586,,,,,,,,,0.0,0.0,0.0,0.0,44.12535106931081,#000000,,44.12535106931081,,6.843188781384928,-43.716358106321216,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-3071160,-1566505.108242965,False,False,False,False,832808.9936552574,False,False,False,False
2022-03-04 00:00:00+00:00,46.04,46.58,38.35,44.22,1692703,,,,,,,,,0.0,0.0,0.0,0.0,43.82939133412006,#000000,,43.82939133412006,,9.666935044758597,-41.19858666861877,True,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-1378457,-1552575.618743486,False,False,False,False,896504.8459770902,False,False,False,False
