date,Open,High,Low,Close,Volume,aVWAP_peak_882,aVWAP_peak_829,aVWAP_peak_797,aVWAP_peak_762,aVWAP_peak_701,aVWAP_peak_683,aVWAP_peak_658,aVWAP_peak_596,aVWAP_valley_858,aVWAP_valley_835,aVWAP_valley_808,aVWAP_valley_788,aVWAP_valley_774,aVWAP_valley_746,aVWAP_valley_732,aVWAP_valley_688,aVWAP_valley_663,aVWAP_valley_624,aVWAP_valley_582,aVWAP_valley_552,aVWAP_valley_526,aVWAP_valley_476,aVWAP_valley_462,aVWAP_valley_424,aVWAP_valley_413,aVWAP_valley_396,aVWAP_valley_354,aVWAP_valley_335,aVWAP_valley_324,aVWAP_valley_306,aVWAP_valley_260,aVWAP_valley_192,aVWAP_valley_178,aVWAP_valley_151,aVWAP_valley_103,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,41.14,41.34,41.01,41.33,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1006.0,False,False,False,False
2024-12-19 16:00:00+00:00,41.3,41.485,41.23,41.35,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,267.0,4.1395348837209305,False,False,False,False,994.5426356589147,False,False,False,False
2024-12-19 17:00:00+00:00,41.34,41.415,41.3,41.315,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-36.0,3.517216513430683,False,False,False,False,983.8210444083888,False,False,False,False
2024-12-19 18:00:00+00:00,41.315,41.48,41.29,41.44,857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,821.0,16.191368195392997,False,False,False,False,981.8548266656231,False,False,False,False
2024-12-19 19:00:00+00:00,41.44,41.45,41.22,41.23,1489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-668.0,5.583750083836515,False,False,False,False,989.7175425312723,False,False,False,False
2024-12-19 20:00:00+00:00,41.23,41.39,41.16,41.17,3227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3895.0,-54.89041658412994,False,False,False,False,1024.4040922594697,False,False,False,False
2024-12-20 15:00:00+00:00,41.24,41.515,41.2,41.475,1508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2387.0,-91.04715431150777,False,False,False,False,1031.901703232191,False,False,False,False
2024-12-20 16:00:00+00:00,41.475,41.675,41.46,41.665,1271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1116.0,-106.9378961051278,False,False,False,False,1035.6086535696763,False,False,False,False
2024-12-20 17:00:00+00:00,41.675,41.77,41.66,41.685,1083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-33.0,-105.79157213450566,False,False,False,False,1036.3434031267357,False,False,False,False
2024-12-20 18:00:00+00:00,41.665,41.67,41.52,41.565,2348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2381.0,-141.06612140373812,False,False,False,False,1056.679164318569,False,False,False,False
2024-12-20 19:00:00+00:00,41.57,41.825,41.56,41.765,2084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-297.0,-143.48370091685845,False,False,False,False,1072.6066191353352,False,False,False,False
2024-12-20 20:00:00+00:00,41.77,41.905,41.68,41.755,6336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-6633.0,-244.09635671659709,False,False,False,False,1154.2096172882757,False,False,False,False
2024-12-23 15:00:00+00:00,41.505,41.56,41.37,41.53,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7038.0,-349.42819614734753,False,False,False,False,1142.593964307062,False,False,False,False
2024-12-23 16:00:00+00:00,41.53,41.53,41.53,41.53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7038.0,-453.12698380397785,False,False,False,False,1124.8793292015262,False,False,False,False
2024-12-23 17:00:00+00:00,41.53,41.53,41.53,41.53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7038.0,-555.2180383186449,False,False,False,False,1107.4393396015025,False,False,False,False
2024-12-23 18:00:00+00:00,41.53,41.53,41.53,41.53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7038.0,-655.7262857865728,False,False,False,False,1090.269737437138,False,False,False,False
