date,Close,High,Low,Open,Volume,aVWAP_peak_842,aVWAP_peak_775,aVWAP_peak_735,aVWAP_peak_715,aVWAP_peak_690,aVWAP_peak_664,aVWAP_peak_647,aVWAP_peak_613,aVWAP_peak_594,aVWAP_peak_556,aVWAP_peak_533,aVWAP_peak_499,aVWAP_peak_418,aVWAP_peak_396,aVWAP_peak_383,aVWAP_peak_361,aVWAP_peak_332,aVWAP_peak_278,aVWAP_peak_231,aVWAP_peak_217,aVWAP_peak_206,aVWAP_peak_153,aVWAP_peak_103,aVWAP_peak_54,aVWAP_peak_27,aVWAP_valley_850,aVWAP_valley_817,aVWAP_valley_800,aVWAP_valley_760,aVWAP_valley_725,aVWAP_valley_715,aVWAP_valley_693,aVWAP_valley_672,aVWAP_valley_649,aVWAP_valley_625,aVWAP_valley_610,aVWAP_valley_585,aVWAP_valley_541,aVWAP_valley_527,aVWAP_valley_504,aVWAP_valley_461,aVWAP_valley_393,aVWAP_valley_367,aVWAP_valley_333,aVWAP_valley_317,aVWAP_valley_241,aVWAP_valley_211,aVWAP_valley_194,aVWAP_valley_150,aVWAP_valley_114,aVWAP_valley_88,aVWAP_valley_44,aVWAP_valley_14,aVWAP_OB_bull_850,aVWAP_OB_bull_461,aVWAP_OB_bear_775,aVWAP_OB_bear_735,aVWAP_OB_bear_715,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2022-01-03 00:00:00+00:00,145.8358026007,147.4506963387,143.7751783763,145.6227951444,22490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-04 00:00:00+00:00,144.4884065984,146.6085738373,142.249351477,146.1231149835,72675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-05 00:00:00+00:00,139.8815011494,145.6277488062,139.7229839727,145.0481703788,56811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-06 00:00:00+00:00,141.0010287101,143.1608252432,139.8504912267,140.3471453561,47279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-07 00:00:00+00:00,140.6344577389,141.7044486819,139.6041951633,140.7137163273,70450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-10 00:00:00+00:00,137.4046702628,139.7427986198,134.3632210074,139.7427986198,73870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-11 00:00:00+00:00,142.4375906243,142.7149956836,137.2560604096,137.4046702628,40256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-12 00:00:00+00:00,141.5657461523,144.2258625244,140.8127895627,143.2400838316,34056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-13 00:00:00+00:00,140.0994622674,142.4078686537,139.0889152657,141.7638926232,40560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-14 00:00:00+00:00,137.4542068806,140.0499256497,136.9687480268,138.7124369709,53169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
