date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_35,aVWAP_BoS_CHoCH_bull_162,aVWAP_BoS_CHoCH_bear_40,aVWAP_BoS_CHoCH_bear_115,aVWAP_BoS_CHoCH_bear_139,aVWAP_BoS_CHoCH_bear_153,Peaks_Valleys_avg,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2021-12-31 00:00:00+00:00,9.0,9.54,8.0,8.77,4319483,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,8.4,9.45,7.6893,8.99,3471880,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,8.23,8.98,8.0,8.5,2415719,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,7.6,8.295,7.28,7.93,2881268,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,7.04,8.0,6.9,7.3,4686123,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,7.72,7.97,6.99,7.01,3233217,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-11 00:00:00+00:00,8.4704,8.82,7.53,7.53,3698973,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-18 00:00:00+00:00,8.59,9.28,8.1,8.5,1951144,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-25 00:00:00+00:00,7.10204,8.269,6.52,7.89,2678078,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-04 00:00:00+00:00,6.0,7.1,5.7,6.75,5843030,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-11 00:00:00+00:00,5.92,6.22,5.41,6.0,4223422,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-18 00:00:00+00:00,6.74,6.75,5.35,5.57,3392030,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-25 00:00:00+00:00,6.73,6.94,6.33,6.74,4499793,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-01 00:00:00+00:00,7.157591,7.44,6.42,6.73,2867185,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-08 00:00:00+00:00,6.87049,7.63,6.3,7.3,2679518,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-15 00:00:00+00:00,6.65,7.01,6.3,6.99,1609024,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-22 00:00:00+00:00,6.46,6.85,5.88,6.85,2969419,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-29 00:00:00+00:00,5.8729,6.46,5.85,6.44,2395464,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-05-06 00:00:00+00:00,5.952,6.0,5.1401,5.8,2699280,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-05-13 00:00:00+00:00,5.91272,5.9733,5.08,5.94,2836840,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-05-20 00:00:00+00:00,6.26,6.26,5.4708,5.91,1710892,,,,,,,,0,,,0.0,0.0,0.0,0.0
