date,Open,High,Low,Close,Volume,aVWAP_peak_842,aVWAP_peak_812,aVWAP_peak_792,aVWAP_peak_774,aVWAP_valley_870,aVWAP_valley_856,aVWAP_valley_828,aVWAP_valley_798,aVWAP_valley_779,aVWAP_valley_716,aVWAP_valley_699,aVWAP_valley_684,aVWAP_valley_660,aVWAP_valley_630,aVWAP_valley_582,aVWAP_valley_567,aVWAP_valley_539,aVWAP_valley_503,aVWAP_valley_474,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,64.04,64.06,62.4,62.77,9602.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,9602.0,False,False,False,False
2024-12-19 16:00:00+00:00,62.8,63.12,62.61,62.61,12078.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-12078.0,-187.25581395348837,False,False,False,False,9640.387596899225,False,False,False,False
2024-12-19 17:00:00+00:00,62.61,62.73,62.185,62.42,10527.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-22605.0,-534.8177393185506,False,False,False,False,9654.13352562947,False,False,False,False
2024-12-19 18:00:00+00:00,62.44,62.76,62.265,62.76,7008.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-15597.0,-768.3399449105111,False,False,False,False,9613.108199650718,False,False,False,False
2024-12-19 19:00:00+00:00,62.76,62.92,62.445,62.71,9230.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-24827.0,-1141.342426384767,False,False,False,False,9607.16853764063,False,False,False,False
2024-12-19 20:00:00+00:00,62.71,63.01,62.4,62.43,13980.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-38807.0,-1725.3061096966308,False,False,False,False,9674.964374266356,False,False,False,False
2024-12-20 15:00:00+00:00,62.0,62.225,61.935,61.935,7858.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-46665.0,-2422.045549856373,False,False,False,False,9646.794383967652,False,False,False,False
2024-12-20 16:00:00+00:00,61.96,62.36,61.88,62.3,7143.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-39522.0,-2997.2386421066612,False,False,False,False,9607.975866386758,False,False,False,False
2024-12-20 17:00:00+00:00,62.3,62.3,62.075,62.11,2697.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-42219.0,-3605.3279654848525,False,False,False,False,9500.828953729599,False,False,False,False
2024-12-20 18:00:00+00:00,62.065,62.26,61.91,61.97,6456.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-48675.0,-4304.082570671134,False,False,False,False,9453.622303284179,False,False,False,False
