date,Close,High,Low,Open,Volume,aVWAP_peak_147,aVWAP_peak_133,aVWAP_peak_103,aVWAP_peak_83,aVWAP_peak_67,aVWAP_peak_56,aVWAP_peak_16,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_136,aVWAP_valley_111,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,23.0982707753,23.6347944857,22.6727519705,22.9780154609,7982079,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,20.7949189839,23.1630236369,20.6422872387,22.7745064673,10757306,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,21.2666898328,22.2657339832,20.4804975888,20.6376620343,9390005,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,21.7477110904,23.5512632943,20.9891775687,21.3453183076,14352417,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,19.5461137958,21.9234688576,19.1807226482,21.3221922856,16485145,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,19.721871563,20.8781726631,19.3842316418,19.814375651,12717576,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,22.0529745808,22.3027356184,19.9068797391,19.9901334183,11454139,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,22.1269778512,22.9317634169,21.2019369711,22.274984392,13268098,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,21.5442020968,23.3017797689,20.7486669399,22.3027356184,14117233,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,24.6985914978,24.8565584111,21.6182053672,21.8494655872,15477347,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,25.4140886932,26.9008361122,23.7507900182,24.57779327,21172732,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,25.711438177,26.4129971153,23.2490127643,24.6056697841,16312042,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,26.2689684591,27.0866795395,25.2561217799,25.887989433,11194780,,,,,,,,,,,,,,#000000
