date,Open,High,Low,Close,Volume,aVWAP_peak_601,aVWAP_peak_569,aVWAP_peak_507,aVWAP_peak_483,aVWAP_peak_473,aVWAP_peak_446,aVWAP_peak_431,aVWAP_peak_393,aVWAP_peak_369,aVWAP_peak_329,aVWAP_peak_300,aVWAP_peak_288,aVWAP_peak_276,aVWAP_peak_242,aVWAP_peak_202,aVWAP_peak_173,aVWAP_peak_139,aVWAP_peak_126,aVWAP_peak_99,aVWAP_peak_81,aVWAP_valley_610,aVWAP_valley_554,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,12.625,12.75,12.495,12.65,12483.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,12483.0,False,False,False,False
2023-10-31 16:00:00+00:00,12.515,12.61,12.43,12.475,8572.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-8572.0,-132.89922480620154,False,False,False,False,12422.364341085271,False,False,False,False
2023-11-01 16:00:00+00:00,12.385,12.51,12.24,12.455,17652.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26224.0,-537.4124151192837,False,False,False,False,12503.443963704103,False,False,False,False
2023-11-02 16:00:00+00:00,14.61,15.025,14.37,14.43,20430.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5794.0,-618.9098970554188,False,False,False,False,12626.3363053521,False,False,False,False
2023-11-03 16:00:00+00:00,14.97,15.05,14.86,14.925,8270.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2476.0,-570.926797876265,False,False,False,False,12558.796207594703,False,False,False,False
2023-11-06 16:00:00+00:00,14.77,14.88,14.645,14.845,4091.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1615.0,-587.11397930454,False,False,False,False,12427.512545461452,False,False,False,False
2023-11-06 20:00:00+00:00,14.85,14.99,14.815,14.975,2910.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1295.0,-557.933917609896,False,False,False,False,12279.95421142329,False,False,False,False
2023-11-07 16:00:00+00:00,15.99,16.0,15.31,15.335,9667.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10962.0,-379.3302909802851,False,False,False,False,12239.443293416727,False,False,False,False
2023-11-07 20:00:00+00:00,15.335,15.365,15.13,15.21,9425.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1537.0,-349.6197438333039,False,False,False,False,12195.808513673832,False,False,False,False
2023-11-08 16:00:00+00:00,15.05,15.375,15.045,15.325,8974.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10511.0,-181.23804237852397,False,False,False,False,12145.85799408199,False,False,False,False
