date,Close,High,Low,Open,Volume,aVWAP_peak_153,aVWAP_peak_106,aVWAP_peak_79,aVWAP_valley_166,aVWAP_valley_150,aVWAP_valley_137,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,3.6,3.96975,3.474,3.76,65419,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,3.6585,3.7605,3.475,3.5,44331,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,3.3525,3.72,3.3005,3.551,49831,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,3.221,3.605,3.19445,3.2,39272,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,2.95,3.1595,2.8725,3.1,49275,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,2.98905,3.1545,2.8155,3.0,27271,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,3.5765,3.655,2.9366,3.149,54705,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,2.984,3.4605,2.95,3.4605,39467,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,2.85,3.01,2.75,2.95,45693,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,3.25,3.8,2.803,2.921,106647,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,3.4075,3.546,3.155,3.15865,53288,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,3.57,3.675,3.15,3.431,101802,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,3.85,4.6,3.6,3.65,125895,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,3.75,4.12,3.6565,3.81255,23176,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,3.8,4.0,3.512,3.751,19927,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,3.85,4.1235,3.74,3.74,15936,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,2.995,3.925,2.97825,3.925,58582,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,3.18,3.2475,2.85,2.95,32184,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,3.005,3.36,3.005,3.1975,13693,,,,,,,,,#000000
2022-05-13 00:00:00+00:00,2.55,3.065,2.46,2.9985,98939,,,,,,,,,#000000
2022-05-20 00:00:00+00:00,2.3,2.55,2.3,2.55,55823,,,,,,,,,#000000
2022-05-27 00:00:00+00:00,2.41525,2.6,2.2,2.3,50777,,,,,,,,,#000000
2022-06-03 00:00:00+00:00,2.4645,2.5202,2.288,2.375,23092,,,,,,,,,#000000
2022-06-10 00:00:00+00:00,2.2555,2.40675,2.1742,2.35425,41499,,,,,,,,,#000000
2022-06-17 00:00:00+00:00,2.2015,2.4505,2.045,2.1775,30629,,,,,,,,,#000000
2022-06-24 00:00:00+00:00,2.3095,2.3295,2.0245,2.305,92908,,,,,,,,,#000000
2022-07-01 00:00:00+00:00,3.0,3.2495,2.2005,2.4,69405,,,,,,,,,#000000
2022-07-08 00:00:00+00:00,3.2685,3.4495,2.729,3.0,56290,,,,,,,,,#000000
2022-07-15 00:00:00+00:00,3.315,3.5725,2.9596,3.18,182746,,,,,,,,,#000000
2022-07-22 00:00:00+00:00,3.35,3.54,3.015,3.015,76948,,,,,,,,,#000000
2022-07-29 00:00:00+00:00,3.50725,3.5495,3.15,3.35,47231,,,,,,,,,#000000
2022-08-05 00:00:00+00:00,3.85,4.2,3.4725,3.6,43111,,,,,,,,,#000000
2022-08-12 00:00:00+00:00,3.8765,4.45,3.767,3.92085,134232,,,,,,,,,#000000
2022-08-19 00:00:00+00:00,3.75,4.05,3.67005,3.75,87805,,,,,,,,,#000000
2022-08-26 00:00:00+00:00,3.862,4.0126,3.612,3.7505,37830,,,,,,,,,#000000
2022-09-02 00:00:00+00:00,3.965,4.1245,3.75,3.75,119983,,,,,,,,,#000000
2022-09-09 00:00:00+00:00,4.7,4.837,4.0,4.0,154620,,,,,,,,,#000000
2022-09-16 00:00:00+00:00,4.312,5.05,4.1,4.325,94341,,,,,,,,,#000000
2022-09-23 00:00:00+00:00,3.894,4.55,3.852,4.276,121506,,,,,,,,,#000000
2022-09-30 00:00:00+00:00,3.5505,3.83175,3.3155,3.5905,65484,,,,,,,,,#000000
2022-10-07 00:00:00+00:00,3.5705,4.275,3.30995,3.48,171485,,,,,,,,,#000000
2022-10-14 00:00:00+00:00,3.56,3.6885,3.3095,3.6,21801,,,,,,,,,#000000
2022-10-21 00:00:00+00:00,3.59925,3.634,3.5,3.6071,6290,,,,,,,,,#000000
2022-10-28 00:00:00+00:00,3.5495,3.63575,3.3855,3.5775,26474,,,,,,,,,#000000
2022-11-04 00:00:00+00:00,3.45,3.504115,3.3035,3.5,45302,,,,,,,,,#000000
2022-11-11 00:00:00+00:00,4.0,4.0,3.3,3.375,70156,,,,,,,,,#000000
2022-11-18 00:00:00+00:00,3.9935,4.0,3.584,3.786,59482,,,,,,,,,#000000
2022-11-25 00:00:00+00:00,4.345,4.4205,3.8315,3.974,45563,,,,,,,,,#000000
2022-12-02 00:00:00+00:00,4.545,4.55,4.066425,4.2785,82637,,,,,,,,,#000000
2022-12-09 00:00:00+00:00,4.415,4.82575,4.2989,4.5,73607,,,,,,,,,#000000
2022-12-16 00:00:00+00:00,4.1895,4.514,3.985,4.401,29102,,,,,,,,,#000000
2022-12-23 00:00:00+00:00,4.0045,4.118,3.71895,4.113,19213,,,,,,,,,#000000
2022-12-30 00:00:00+00:00,3.7,4.1,3.645,3.95,84448,,,,,,,,,#000000
2023-01-06 00:00:00+00:00,4.1945,4.218,3.38,3.6935,54562,,,,,,,,,#000000
2023-01-13 00:00:00+00:00,4.225,4.3665,4.125,4.3,23793,,,,,,,,,#000000
2023-01-20 00:00:00+00:00,4.2115,4.346,4.0385,4.321,37253,,,,,,,,,#000000
2023-01-27 00:00:00+00:00,4.65,4.672425,4.094,4.134,155317,,,,,,,,,#000000
2023-02-03 00:00:00+00:00,4.4795,4.635,4.16,4.6,74761,,,,,,,,,#000000
2023-02-10 00:00:00+00:00,4.69,4.725,4.358,4.43,172061,,,,,,,,,#000000
2023-02-17 00:00:00+00:00,3.95,4.9,3.7845,4.719,177140,,,,,,,,,#000000
2023-02-24 00:00:00+00:00,3.97525,4.0345,3.7745,3.98,23210,,,,,,,,,#000000
2023-03-03 00:00:00+00:00,4.3565,4.39025,3.773,3.773,70579,,,,,,,,,#000000
2023-03-10 00:00:00+00:00,3.983,4.4925,3.8625,4.4925,53691,,,,,,,,,#000000
2023-03-17 00:00:00+00:00,3.95,4.14,3.732265,3.8625,105911,,,,,,,,,#000000
2023-03-24 00:00:00+00:00,3.7105,4.0,3.65,3.92,70342,,,,,,,,,#000000
