date,Open,High,Low,Close,Volume,aVWAP_peak_871,aVWAP_peak_852,aVWAP_peak_841,aVWAP_peak_830,aVWAP_peak_803,aVWAP_peak_770,aVWAP_peak_751,aVWAP_peak_750,aVWAP_peak_728,aVWAP_peak_727,aVWAP_peak_714,aVWAP_peak_703,aVWAP_peak_681,aVWAP_peak_680,aVWAP_peak_633,aVWAP_peak_612,aVWAP_peak_593,aVWAP_peak_562,aVWAP_peak_534,aVWAP_peak_501,aVWAP_peak_478,aVWAP_peak_426,aVWAP_peak_408,aVWAP_valley_863,aVWAP_valley_821,aVWAP_valley_788,aVWAP_valley_756,aVWAP_valley_708,aVWAP_valley_690,aVWAP_valley_666,aVWAP_valley_643,aVWAP_valley_629,aVWAP_valley_614,aVWAP_valley_600,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,9.02,9.02,8.89,8.96,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,515.0,False,False,False,False
2024-12-19 16:00:00+00:00,8.96,8.96,8.895,8.96,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,509.3255813953488,False,False,False,False
2024-12-19 17:00:00+00:00,8.96,8.96,8.84,8.865,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-368.0,-5.705426356589147,False,False,False,False,507.1344871101496,False,False,False,False
2024-12-19 18:00:00+00:00,8.865,8.88,8.825,8.88,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,130.0,-3.6014662580373766,False,False,False,False,506.9928671549535,False,False,False,False
2024-12-19 19:00:00+00:00,8.88,8.91,8.845,8.885,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,746.0,8.020261901001962,False,False,False,False,508.68290022231855,False,False,False,False
2024-12-19 20:00:00+00:00,8.885,8.92,8.77,8.775,5539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4793.0,-66.41416076412985,False,False,False,False,586.6723126219725,False,False,False,False
2024-12-20 15:00:00+00:00,8.735,8.92,8.735,8.9,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4517.0,-135.41549160499602,False,False,False,False,581.8556876200815,False,False,False,False
2024-12-20 16:00:00+00:00,8.9,9.03,8.9,9.03,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3936.0,-194.33928243282554,False,False,False,False,581.8424211453515,False,False,False,False
2024-12-20 17:00:00+00:00,9.03,9.03,9.03,9.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3936.0,-252.34952611603754,False,False,False,False,572.8216084144158,False,False,False,False
2024-12-20 18:00:00+00:00,9.03,9.03,8.92,8.92,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3945.0,-309.5999210599749,False,False,False,False,564.0801881289209,False,False,False,False
