date,Open,High,Low,Close,Volume,aVWAP_peak_197,aVWAP_peak_178,aVWAP_peak_155,aVWAP_peak_108,aVWAP_peak_91,aVWAP_peak_52,aVWAP_peak_35,aVWAP_peak_18,aVWAP_valley_220,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,0.61,0.615,0.5766,0.6093,20840.0,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,0.6093,0.6133,0.5905,0.6133,25248.0,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,0.6133,0.6355,0.6049,0.6322,9454.0,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,0.6322,0.6325,0.6035,0.6308,16550.0,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,0.6248,0.6488,0.6175,0.6463,47984.0,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,0.6464,0.6497,0.6377,0.6496,24736.0,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,0.6492,0.668,0.6427,0.6501,56655.0,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,0.6534,0.6562,0.6189,0.6455,19985.0,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,0.6324,0.6497,0.612,0.6369,35202.0,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,0.6369,0.6454,0.6248,0.644,9308.0,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,0.644,0.6574,0.6424,0.6546,19126.0,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,0.6546,0.6658,0.6445,0.6601,21913.0,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,0.6601,0.6678,0.651,0.6654,24249.0,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,0.6665,0.6856,0.6637,0.6725,29933.0,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,0.6838,0.6838,0.6638,0.6696,30840.0,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,0.6696,0.6747,0.6552,0.665,32610.0,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,0.6681,0.6719,0.6566,0.668,9739.0,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,0.668,0.6812,0.6651,0.6784,15907.0,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,0.6817,0.7001,0.6755,0.6822,36618.0,,,,,,,,0.6859333333333333,,0.6859333333333333,,#000000
2025-07-09 15:05:00+00:00,0.6915,0.6915,0.6592,0.6842,50645.0,,,,,,,,0.6815031605606041,,0.6815031605606041,,#000000
2025-07-09 15:10:00+00:00,0.6894,0.6894,0.6724,0.6733,6200.0,,,,,,,,0.6812950968119291,,0.6812950968119291,,#000000
2025-07-09 15:15:00+00:00,0.6733,0.6918,0.6724,0.6903,10836.0,,,,,,,,0.6816626969897442,,0.6816626969897442,,#000000
2025-07-09 15:20:00+00:00,0.6822,0.6892,0.6731,0.6784,10540.0,,,,,,,,0.6815315090401926,,0.6815315090401926,,#000000
2025-07-09 15:25:00+00:00,0.6869,0.6886,0.6747,0.679,5907.0,,,,,,,,0.68149409228187,,0.68149409228187,,#000000
2025-07-09 15:30:00+00:00,0.6794,0.684,0.6737,0.6737,400.0,,,,,,,,0.6814796939230351,,0.6814796939230351,,#000000
2025-07-09 15:35:00+00:00,0.6737,0.6839,0.672,0.68,424.0,,,,,,,,0.6814697666639248,,0.6814697666639248,,#000000
2025-07-09 15:40:00+00:00,0.68,0.6832,0.6725,0.68,400.0,,,,,,,,0.6814602459621218,,0.6814602459621218,,#000000
2025-07-09 15:45:00+00:00,0.67,0.685,0.6678,0.6838,5100.0,,,,,,,,0.6813561517273944,,0.6813561517273944,,#000000
2025-07-09 15:50:00+00:00,0.6838,0.687,0.6799,0.6857,6384.0,,,,,,,,0.6814921920661801,,0.6814921920661801,,#000000
2025-07-09 15:55:00+00:00,0.6857,0.6857,0.6757,0.6759,6000.0,,,,,,,,0.6813892681457685,,0.6813892681457685,,#000000
2025-07-09 16:00:00+00:00,0.6806,0.6881,0.6759,0.68,3500.0,,,,,,,,0.6813878986713675,,0.6813878986713675,,#000000
2025-07-09 16:05:00+00:00,0.6882,0.694,0.68,0.6899,2205.0,,,,,,,,0.6814878317339378,,0.6814878317339378,,#000000
2025-07-09 16:10:00+00:00,0.6886,0.6928,0.6876,0.688,850.0,,,,,,,,0.681534280991811,,0.681534280991811,,#000000
