date,Open,High,Low,Close,Volume,aVWAP_OB_bull_798,aVWAP_OB_bull_406,aVWAP_OB_bull_366,aVWAP_OB_bull_164,aVWAP_OB_bull_143,aVWAP_OB_bear_624,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-10 15:00:00+00:00,19.88,19.895,19.725,19.73,7787.0,,,,,,,0.0,0.0,0.0,0.0,19.59741876993283,#000000,,19.59741876993283,,58.287358822220526,-13.888708930321798,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,15270.0,556.4026079943812,False,False,False,False,10963.875659589228,False,False,False,False
2024-12-10 16:00:00+00:00,19.725,19.775,19.645,19.73,6267.0,,,,,,,0.0,0.0,0.0,0.0,19.603209155139336,#000000,,19.603209155139336,,59.43629530614285,-10.800446226238762,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,15270.0,784.5203970177242,False,False,False,False,10891.055881921176,False,False,False,False
2024-12-10 17:00:00+00:00,19.73,19.805,19.72,19.785,6129.0,,,,,,,0.0,0.0,0.0,0.0,19.61103936851369,#000000,,19.61103936851369,,60.78421806590923,-7.655964334330719,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,21399.0,1104.124731947682,False,False,False,False,10817.225558170461,False,False,False,False
2024-12-10 18:00:00+00:00,19.785,19.8,19.685,19.695,8125.0,,,,,,,0.0,0.0,0.0,0.0,19.617634294471145,#000000,,19.617634294471145,,60.26247298953426,-6.461350369742988,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,13274.0,1292.8049686616714,False,False,False,False,10775.485627036034,False,False,False,False
2024-12-10 19:00:00+00:00,19.695,19.76,19.625,19.705,9596.0,,,,,,,0.0,0.0,0.0,0.0,19.622453344387935,#000000,,19.622453344387935,,60.00473753172963,-5.084097132827324,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,22870.0,1627.3351241862965,False,False,False,False,10757.199028167259,False,False,False,False
2024-12-10 20:00:00+00:00,19.705,19.705,19.495,19.515,27610.0,,,,,,,0.0,0.0,0.0,0.0,19.61296071329806,#000000,,19.61296071329806,,56.936948471564676,-5.084097132827324,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-4740.0,1528.6167501679042,False,False,False,False,11018.482764164666,False,False,False,False
2024-12-11 15:00:00+00:00,19.95,20.215,19.925,20.14,12932.0,,,,,,,0.0,0.0,0.0,0.0,19.646973057030706,#000000,,19.646973057030706,,60.26673279661255,-2.5156262260130404,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,8192.0,1631.9250176071614,False,False,False,False,11048.149698053585,False,False,False,False
2024-12-11 16:00:00+00:00,20.14,20.22,20.07,20.165,9241.0,,,,,,,0.0,0.0,0.0,0.0,19.671286313789835,#000000,,19.671286313789835,,62.79306854069095,0.854956524925349,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,17433.0,1876.9029243109262,False,False,False,False,11020.13187327756,False,False,False,False
2024-12-11 17:00:00+00:00,20.165,20.3,20.12,20.29,7427.0,,,,,,,0.0,0.0,0.0,0.0,19.692378109119236,#000000,,19.692378109119236,,65.33122635228129,4.099498051862753,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,24860.0,2233.230010755718,False,False,False,False,10964.424402374032,False,False,False,False
2024-12-11 18:00:00+00:00,20.295,20.335,20.245,20.255,24076.0,,,,,,,0.0,0.0,0.0,0.0,19.755572997008652,#000000,,19.755572997008652,,66.63299156388754,6.095319528726677,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,784.0,2210.76132841842,False,False,False,False,11167.70464419769,False,False,False,False
