date,Open,High,Low,Close,Volume,aVWAP_peak_557,aVWAP_peak_546,aVWAP_peak_531,aVWAP_peak_511,aVWAP_peak_478,aVWAP_peak_445,aVWAP_peak_411,aVWAP_peak_369,aVWAP_peak_352,aVWAP_peak_323,aVWAP_peak_301,aVWAP_peak_269,aVWAP_valley_556,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,336.0,338.16,334.63,337.215,205463.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,205463.0,False,False,False,False
2023-10-31 16:00:00+00:00,336.02,338.48,335.185,338.35,231070.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,231070.0,3582.4806201550387,False,False,False,False,205860.00775193798,False,False,False,False
2023-11-01 16:00:00+00:00,345.105,347.355,343.135,346.075,284199.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,515269.0,11515.604951625504,False,False,False,False,207074.56577128777,False,False,False,False
2023-11-02 16:00:00+00:00,347.365,348.825,346.47,348.4,204454.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,719723.0,22495.564564778597,False,False,False,False,207033.93684460112,False,False,False,False
2023-11-03 16:00:00+00:00,351.355,354.425,351.165,352.82,188736.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,908459.0,36231.43178082854,False,False,False,False,206750.24790127398,False,False,False,False
2023-11-06 16:00:00+00:00,357.0,357.52,353.82,355.78,138984.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1047443.0,51909.13051290871,False,False,False,False,205699.60839892863,False,False,False,False
2023-11-06 20:00:00+00:00,355.77,356.62,355.03,356.56,71313.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1118756.0,68449.39205534423,False,False,False,False,203616.0950904181,False,False,False,False
2023-11-07 16:00:00+00:00,361.415,362.485,360.77,361.475,101553.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1220309.0,86307.68055061021,False,False,False,False,202033.7215231248,False,False,False,False
2023-11-07 20:00:00+00:00,361.455,361.88,359.94,360.5,89245.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1131064.0,102505.45294517439,False,False,False,False,200285.05917392907,False,False,False,False
2023-11-08 16:00:00+00:00,361.63,363.315,361.32,361.945,88776.0,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1219840.0,119828.46917858254,False,False,False,False,198556.23655107745,False,False,False,False
