date,Open,High,Low,Close,Volume,aVWAP_peak_840,aVWAP_valley_870,aVWAP_valley_828,aVWAP_valley_788,aVWAP_valley_768,aVWAP_valley_726,aVWAP_valley_702,aVWAP_valley_677,aVWAP_valley_594,aVWAP_valley_554,aVWAP_valley_506,aVWAP_valley_462,aVWAP_valley_439,aVWAP_valley_401,aVWAP_OB_bull_554,aVWAP_OB_bull_401,aVWAP_OB_bear_840,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,9.41,9.43,9.265,9.42,3436.0,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3436.0,False,False,False,False
2025-01-06 16:00:00+00:00,9.42,9.42,9.34,9.39,947.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-947.0,-14.682170542635658,False,False,False,False,3397.410852713178,False,False,False,False
2025-01-06 17:00:00+00:00,9.39,9.425,9.36,9.395,1667.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.263157894736054,-57.89473684210408,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,720.0,-3.2917492939126234,False,False,False,False,3370.5827774773147,False,False,False,False
2025-01-06 18:00:00+00:00,9.395,9.45,9.365,9.41,1021.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.53023115729189,-45.42805511633023,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1741.0,23.75153364087672,False,False,False,False,3334.1551375164263,False,False,False,False
2025-01-06 19:00:00+00:00,9.415,9.43,9.365,9.395,1072.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,23.151790561989287,-41.22257078469815,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,669.0,33.75538583249103,False,False,False,False,3299.082964841753,False,False,False,False
2025-01-06 20:00:00+00:00,9.38,9.45,9.37,9.385,4765.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,24.352434518036034,-39.833304817150385,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4096.0,-30.271829451733637,False,False,False,False,3321.8103607356793,False,False,False,False
2025-01-07 15:00:00+00:00,9.86,9.92,9.655,9.755,1622.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,46.60830489852765,-19.114873813939823,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2474.0,-68.15908790984629,False,False,False,False,3295.4567117320253,False,False,False,False
2025-01-07 16:00:00+00:00,9.765,9.83,9.735,9.77,2089.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,61.55961314474752,-6.013730445303111,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-385.0,-73.07135011279442,False,False,False,False,3276.7519565113735,False,False,False,False
2025-01-07 17:00:00+00:00,9.77,9.81,9.665,9.665,1745.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,64.42936801736141,-3.912122838001814,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2130.0,-104.96171677771233,False,False,False,False,3253.00386416236,False,False,False,False
2025-01-07 18:00:00+00:00,9.665,9.75,9.585,9.615,1354.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,63.74886982357793,-3.912122838001814,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3484.0,-157.34990721526717,False,False,False,False,3223.5619437877494,False,False,False,False
