date,Open,High,Low,Close,Volume,aVWAP_peak_871,aVWAP_peak_841,aVWAP_peak_816,aVWAP_peak_774,aVWAP_peak_745,aVWAP_peak_680,aVWAP_peak_656,aVWAP_peak_626,aVWAP_peak_578,aVWAP_peak_549,aVWAP_peak_487,aVWAP_peak_486,aVWAP_peak_485,aVWAP_peak_484,aVWAP_peak_483,aVWAP_peak_482,aVWAP_peak_481,aVWAP_peak_480,aVWAP_peak_479,aVWAP_peak_468,aVWAP_peak_447,aVWAP_peak_407,aVWAP_peak_389,aVWAP_peak_376,aVWAP_peak_355,aVWAP_peak_354,aVWAP_peak_329,aVWAP_peak_275,aVWAP_peak_274,aVWAP_peak_273,aVWAP_peak_272,aVWAP_peak_271,aVWAP_peak_270,aVWAP_peak_209,aVWAP_peak_189,aVWAP_peak_144,aVWAP_valley_882,aVWAP_valley_856,aVWAP_valley_829,aVWAP_valley_794,aVWAP_valley_773,aVWAP_valley_761,aVWAP_valley_725,aVWAP_valley_698,aVWAP_valley_667,aVWAP_valley_643,aVWAP_valley_598,aVWAP_valley_564,aVWAP_valley_523,aVWAP_valley_509,aVWAP_valley_473,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,57.74,57.74,57.52,57.52,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,400.0,False,False,False,False
2024-12-19 16:00:00+00:00,57.34,57.79,57.34,57.76,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,437.0,6.775193798449612,False,False,False,False,400.5736434108527,False,False,False,False
2024-12-19 17:00:00+00:00,57.76,57.76,57.45,57.45,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,337.0,11.89495823568295,False,False,False,False,395.91358692386274,False,False,False,False
2024-12-19 18:00:00+00:00,57.45,57.45,57.43,57.43,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,237.0,15.38495888319174,False,False,False,False,391.32577937465555,False,False,False,False
2024-12-19 19:00:00+00:00,57.43,57.43,57.43,57.43,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,237.0,18.820850993529852,False,False,False,False,385.25871302776164,False,False,False,False
2024-12-19 20:00:00+00:00,57.335,57.375,57.22,57.36,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,18.0,18.808124621537143,False,False,False,False,382.68105856221496,False,False,False,False
2024-12-20 15:00:00+00:00,57.01,58.04,57.01,57.97,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,503.0,26.31497540259858,False,False,False,False,384.26739873954494,False,False,False,False
2024-12-20 16:00:00+00:00,57.97,57.97,57.97,57.97,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,503.0,33.70544090023271,False,False,False,False,378.3097646505597,False,False,False,False
2024-12-20 17:00:00+00:00,58.49,58.54,58.45,58.52,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,811.0,45.756519335888015,False,False,False,False,377.21969078000836,False,False,False,False
2024-12-20 18:00:00+00:00,58.52,58.52,58.11,58.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,711.0,56.0703717492851,False,False,False,False,372.9217110779927,False,False,False,False
2024-12-20 19:00:00+00:00,58.16,58.46,58.16,58.37,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,811.0,67.77470707100161,False,False,False,False,368.69036672019433,False,False,False,False
2024-12-20 20:00:00+00:00,58.37,58.37,57.84,57.92,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,708.0,77.70068060478454,False,False,False,False,364.57113622840836,False,False,False,False
2024-12-23 15:00:00+00:00,58.96,58.96,58.96,58.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,708.0,87.47276307602819,False,False,False,False,358.91887055044856,False,False,False,False
2024-12-23 16:00:00+00:00,58.96,58.96,58.96,58.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,708.0,97.09334039267891,False,False,False,False,353.3542368985036,False,False,False,False
2024-12-23 17:00:00+00:00,58.96,58.96,58.96,58.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,708.0,106.56476147186218,False,False,False,False,347.8758766365113,False,False,False,False
