date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2024-05-22 16:00:00+00:00,10.09,10.09,10.09,10.09,0.0,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-05-23 16:00:00+00:00,10.09,10.09,10.09,10.09,0.0,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-05-24 16:00:00+00:00,10.09,10.09,10.09,10.09,0.0,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-05-27 16:00:00+00:00,10.09,10.09,10.09,10.09,0.0,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-05-28 16:00:00+00:00,10.09,10.09,10.09,10.09,0.0,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-05-29 16:00:00+00:00,10.09,10.09,10.065,10.065,10.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-05-30 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-05-31 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-03 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-04 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-05 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-06 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-07 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-10 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-11 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-12 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-13 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2024-06-14 16:00:00+00:00,10.065,10.065,10.065,10.065,0.0,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
