date,Close,High,Low,Open,Volume,aVWAP_peak_176,aVWAP_peak_152,aVWAP_valley_171,aVWAP_valley_141,aVWAP_valley_121,aVWAP_valley_96,aVWAP_valley_63,aVWAP_valley_53,aVWAP_valley_41,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,41.2792380868,41.6869342655,40.324858396,41.3533646648,152250,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,152250.0,False,False,False,False
2022-01-07 00:00:00+00:00,40.1580735956,42.1548582887,39.9912887953,41.6128076876,132835,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-132835,-9839.62962962963,False,False,False,False,150811.85185185185,False,False,False,False
2022-01-14 00:00:00+00:00,38.7682002593,39.8337698171,38.1015243491,39.8337698171,227056,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-359891,-35769.36076817558,False,False,False,False,156459.56652949244,False,False,False,False
2022-01-21 00:00:00+00:00,37.2764028784,38.6199471035,36.4146814099,38.6106812812,201636,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-561527,-74714.37108164406,False,False,False,False,159805.9690087893,False,False,False,False
2022-01-28 00:00:00+00:00,36.3220231875,38.5180230588,35.1267321183,36.9057699888,279868,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-841395,-131505.52877930005,False,False,False,False,168699.45278591604,False,False,False,False
2022-02-04 00:00:00+00:00,33.6997954931,38.0707618192,33.4913144927,35.8957953644,487480,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1328875,-220199.56368453708,False,False,False,False,192312.82665362596,False,False,False,False
2022-02-11 00:00:00+00:00,34.079694205,36.3590864765,33.8573144712,34.0889600273,352249,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-976626,-276231.15155975654,False,False,False,False,204159.95060520922,False,False,False,False
2022-02-18 00:00:00+00:00,34.8032754438,35.4176151548,34.0958539585,34.1237784908,220972,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-755654,-311743.95514792274,False,False,False,False,205405.28759741594,False,False,False,False
2022-02-25 00:00:00+00:00,34.99874717,35.1104452993,33.174344392,34.6729609597,235109,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-520545,-327210.6992110396,False,False,False,False,207605.56259019996,False,False,False,False
2022-03-04 00:00:00+00:00,35.9202567365,36.5532128023,34.3378665719,34.6915773146,379645,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.2088892896800884,-0.2088892896800884,False,False,False,False,-140900,-313409.90667688847,False,False,False,False,220349.22462055553,False,False,False,False
2022-03-11 00:00:00+00:00,35.994722156,37.1472606865,35.5991246149,36.1343448176,217568,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.11811003793624988,-0.16349966380816916,False,False,False,False,76668,-284515.24692304485,False,False,False,False,220143.20798199586,False,False,False,False
2022-03-18 00:00:00+00:00,34.319250217,36.0598793981,32.3459166,35.8364831395,1527806,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.33356936427130585,-0.2485345140397375,False,False,False,False,-1451138,-370931.7471509675,False,False,False,False,317007.118501848,False,False,False,False
2022-03-25 00:00:00+00:00,33.6118287317,35.1756025414,33.4628978926,34.4123319914,370289,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.30448774565064596,-0.2765111298451917,False,False,False,False,-1821427,-478375.8399545995,False,False,False,False,320953.92453874816,False,False,False,False
2022-04-01 00:00:00+00:00,33.9748476518,34.6776150484,33.2488098115,33.5001306024,315969,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.30966969213029283,False,False,False,False,-1505458,-554455.9999579625,False,False,False,False,320584.67086921126,False,False,False,False
2022-04-08 00:00:00+00:00,32.3459166,34.170319378,32.2714511805,33.7514513932,220972,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.3262489732728434,False,False,False,False,-1726430,-641268.8888499653,False,False,False,False,313205.9545085289,False,False,False,False
