date,Close,High,Low,Open,Volume,aVWAP_peak_135,aVWAP_peak_118,aVWAP_peak_106,aVWAP_peak_88,aVWAP_peak_71,aVWAP_peak_49,aVWAP_peak_33,aVWAP_peak_13,aVWAP_valley_115,aVWAP_valley_114,aVWAP_valley_98,aVWAP_valley_97,aVWAP_valley_77,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,7.03,7.85,6.97,7.8458,106764630,,,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,6.42,7.695,6.29,7.19,131022069,,,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,6.86,7.84,6.63,7.16,198635028,,,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,5.79,6.79,5.7,6.67,95900696,,,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,5.48,5.87,5.15,5.512,108638734,,,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,5.95,6.36,5.47,5.501,80287163,,,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,7.12,7.39,5.91,6.03,118897844,,,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,6.39,7.48,6.3243,7.11,82232744,,,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,6.06,6.38,5.43,6.17,61312904,,,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,5.24,6.2,5.16,5.93,88366386,,,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,5.19,5.62,5.0,5.29,81475851,,,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,5.51,5.6,4.78,5.17,90634949,,,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,8.56,8.66,5.27,5.48,486535622,,,,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,7.48,9.08,7.345,7.99,410075197,,,,,,,,7.968333333333333,,,,,,7.968333333333333,,#000000
2022-04-08 00:00:00+00:00,6.4,8.15,6.26,7.45,281266985,,,,,,,,7.548608079452712,,,,,,7.548608079452712,,#000000
2022-04-15 00:00:00+00:00,6.02,6.8,6.02,6.22,96703280,,,,,,,,7.392933606045772,,,,,,7.392933606045772,,#000000
2022-04-22 00:00:00+00:00,5.24,6.03,5.16,6.02,114747794,,,,,,,,7.149370195987596,,,,,,7.149370195987596,,#000000
2022-04-29 00:00:00+00:00,4.98,5.36,4.81,5.18,105800657,,,,,,,,6.929148020185405,,,,,,6.929148020185405,,#000000
2022-05-06 00:00:00+00:00,4.74,5.4,4.58,4.94,112781588,,,,,,,,6.725738316168488,,,,,,6.725738316168488,,#000000
2022-05-13 00:00:00+00:00,4.54,4.71,3.89,4.65,159443569,,,,,,,,6.433727603781176,,,,,,6.433727603781176,,#000000
2022-05-20 00:00:00+00:00,4.72,5.17,4.47,4.59,123912173,,,,,,,,6.288439385270843,,,,,,6.288439385270843,,#000000
