date,Close,High,Low,Open,Volume,aVWAP_peak_142,aVWAP_peak_106,aVWAP_peak_83,aVWAP_peak_59,aVWAP_valley_155,aVWAP_valley_128,aVWAP_valley_95,aVWAP_valley_64,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,64.1679654714,64.6031159937,62.8959870218,62.9964063731,4844841,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4844841.0,False,False,False,False
2022-01-07 00:00:00+00:00,66.8700828489,67.0473675024,64.3771724533,64.3771724533,12068503,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,12068503,893963.1851851852,False,False,False,False,5379927.074074075,False,False,False,False
2022-01-14 00:00:00+00:00,68.9215195529,69.5462369031,66.0174280872,66.8025458381,9525157,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,21593660,2427274.060356653,False,False,False,False,5686981.14266118,False,False,False,False
2022-01-21 00:00:00+00:00,67.2753049139,70.1371857479,66.9713883652,69.7572900619,8613915,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,12979745,3208938.5744043086,False,False,False,False,5903791.058019612,False,False,False,False
2022-01-28 00:00:00+00:00,66.228481246,67.9169065168,64.4218662063,65.8570276865,12263033,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,716712,3024329.198522508,False,False,False,False,6374846.0166848255,False,False,False,False
2022-02-04 00:00:00+00:00,69.8923640836,70.7196924663,65.8570276865,66.1693863616,9972099,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,10688811,3592068.5912245447,False,False,False,False,6641309.200634098,False,False,False,False
2022-02-11 00:00:00+00:00,71.403504701,72.6149498327,70.0949751161,70.3144704013,10694337,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,21383148,4909926.325207911,False,False,False,False,6941533.4820686085,False,False,False,False
2022-02-18 00:00:00+00:00,70.2553755168,72.0873169356,70.0063327894,71.023609015,10578675,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,10804473,5346559.412229547,False,False,False,False,7210951.372285748,False,False,False,False
2022-02-25 00:00:00+00:00,69.5884475349,70.7196924663,65.9667753291,69.8248270728,10870189,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-65716,4945650.122434766,False,False,False,False,7482006.011375692,False,False,False,False
2022-03-04 00:00:00+00:00,65.3842686106,68.9806144374,64.1010654049,68.5500659933,14636292,,,,,,,,,,,#000000,,,,False,False,False,False,-0.0879975374277807,-0.0879975374277807,False,False,False,False,-14702008,3490268.03929145,False,False,False,False,8011953.121644159,False,False,False,False
2022-03-11 00:00:00+00:00,64.9706044193,66.0005438345,62.649019672,64.4556347117,11628713,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.21541289592158733,False,False,False,False,-26330721,1281305.8882328242,False,False,False,False,8279861.260781629,False,False,False,False
2022-03-18 00:00:00+00:00,68.3136864554,68.6344872569,64.4556347117,65.5193426323,10681413,,,,,,,,,,,#000000,,,,False,False,False,False,-0.12216218766046635,-0.16878754179102684,False,False,False,False,-15649308,27186.340956318658,False,False,False,False,8457753.982205212,False,False,False,False
