date,Open,High,Low,Close,Volume,aVWAP_peak_208,aVWAP_peak_189,aVWAP_peak_188,aVWAP_peak_187,aVWAP_peak_172,aVWAP_peak_159,aVWAP_peak_143,aVWAP_peak_80,aVWAP_peak_62,aVWAP_peak_21,aVWAP_valley_220,aVWAP_valley_203,aVWAP_valley_181,aVWAP_valley_168,aVWAP_valley_148,aVWAP_valley_130,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,40.65,40.81,40.61,40.68,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,40.68,40.745,40.57,40.605,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,40.605,40.66,40.53,40.55,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,40.555,40.6,40.445,40.445,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,40.42,40.58,40.42,40.555,200.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,40.56,40.72,40.55,40.68,200.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,40.68,40.715,40.615,40.69,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,40.695,40.785,40.62,40.73,400.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,40.725,40.815,40.72,40.815,8.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,40.815,40.86,40.8,40.835,23.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,40.855,40.885,40.805,40.815,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,40.815,41.035,40.8,41.02,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,41.03,41.155,41.01,41.04,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,41.03,41.125,41.0,41.04,200.0,,,,,,,,,,,,,,,,,,,#000000
