date,Open,High,Low,Close,Volume,aVWAP_OB_bull_685,aVWAP_OB_bear_779,aVWAP_OB_bear_744,aVWAP_OB_bear_696,aVWAP_OB_bear_174,aVWAP_OB_bear_122,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,314.07,315.38,312.93,315.38,886.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,886.0,False,False,False,False
2024-12-05 16:00:00+00:00,315.38,315.76,314.57,315.66,609.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,609.0,9.441860465116278,False,False,False,False,881.7054263565891,False,False,False,False
2024-12-05 17:00:00+00:00,315.66,315.91,314.23,315.91,185.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,794.0,21.60555255092843,False,False,False,False,870.9037918394326,False,False,False,False
2024-12-05 18:00:00+00:00,315.91,315.91,314.37,315.095,438.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,81.71773397416624,33.24125614298572,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,356.0,26.78996258889853,False,False,False,False,864.1921051442476,False,False,False,False
2024-12-05 19:00:00+00:00,315.02,315.18,313.985,314.955,682.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,67.54910645049529,21.26902902550033,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-326.0,21.32035076581483,False,False,False,False,861.3674213435615,False,False,False,False
2024-12-05 20:00:00+00:00,314.955,316.95,314.955,316.465,1359.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,68.31461356961174,21.26902902550033,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,1033.0,37.00530656789522,False,False,False,False,869.0826551211807,False,False,False,False
2024-12-06 15:00:00+00:00,319.615,319.65,315.66,316.88,430.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,70.0955357660128,21.26902902550033,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,1463.0,59.1137514273077,False,False,False,False,862.275172096046,False,False,False,False
2024-12-06 16:00:00+00:00,316.71,316.71,314.5,315.775,339.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,65.01574063105647,21.26902902550033,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,1124.0,75.62361574626416,False,False,False,False,854.1623787302159,False,False,False,False
2024-12-06 17:00:00+00:00,315.775,315.775,314.23,314.89,298.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,58.277266009639554,16.521830967889073,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,826.0,87.25735813779495,False,False,False,False,845.5397061917629,False,False,False,False
2024-12-06 18:00:00+00:00,314.89,315.68,313.54,313.54,646.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,50.40078297771284,9.79092511219568,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,180.0,88.69522855426325,False,False,False,False,842.4460673360766,False,False,False,False
