date,Close,High,Low,Open,Volume,aVWAP_peak_76,aVWAP_peak_75,aVWAP_peak_54,aVWAP_peak_31,aVWAP_peak_30,aVWAP_valley_36,aVWAP_valley_18,aVWAP_OB_bull_36,aVWAP_OB_bear_2,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2022-01-03 00:00:00+00:00,9.76,11.219,9.64,11.06,570183,,,,,,,,,,,,,#000000,,,
2022-01-04 00:00:00+00:00,10.38,10.5701,9.84,9.84,280612,,,,,,,,,,,,,#000000,,,
2022-01-05 00:00:00+00:00,10.35,10.93,10.18,10.34,357877,,,,,,,,,10.486666666666666,,,,#000000,,,
2022-01-06 00:00:00+00:00,10.14,10.33,9.6,10.25,274382,,,,,,,,,10.28559348832256,,,,#000000,,,
2022-01-07 00:00:00+00:00,9.5,10.3,9.44,10.16,216579,,,,,,,,,10.14808758954398,,,,#000000,,,
2022-01-10 00:00:00+00:00,9.26,9.48,8.92,9.34,277029,,,,,,,,,9.919723869101174,,,,#000000,,,
2022-01-11 00:00:00+00:00,9.38,9.43,8.93,9.25,198079,,,,,,,,,9.819026032783814,,,,#000000,,,
2022-01-12 00:00:00+00:00,9.87,9.97,9.39,9.39,144745,,,,,,,,,9.811566233696082,,,,#000000,,,
2022-01-13 00:00:00+00:00,9.96,10.09,9.7301,9.92,131988,,,,,,,,,9.82105987704801,,,,#000000,,,
2022-01-14 00:00:00+00:00,10.17,10.2048,9.64,9.81,98379,,,,,,,,,9.831706533463445,,,,#000000,,,
2022-01-18 00:00:00+00:00,9.31,10.13,9.19,10.13,292812,,,,,,,,,9.78931464369328,,,,#000000,,,
2022-01-19 00:00:00+00:00,9.03,9.61,8.82,9.39,203930,,,,,,,,,9.730249305947718,,,,#000000,,,
2022-01-20 00:00:00+00:00,8.69,9.16,8.69,8.99,215600,,,,,,,,,9.651249381825219,,,,#000000,,,
2022-01-21 00:00:00+00:00,8.72,8.83,8.35,8.65,238811,,,,,,,,,9.559524779725084,,,,#000000,,,
2022-01-24 00:00:00+00:00,9.06,9.0899,8.1935,8.42,220113,,,,,,,,,9.4998332339485,,,,#000000,,,
2022-01-25 00:00:00+00:00,8.74,9.15,8.57,8.87,150718,,,,,,,,,9.46591675567569,,,,#000000,,,
2022-01-26 00:00:00+00:00,8.71,9.1,8.59,8.83,122607,,,,,,,,,9.439945008937066,,,,#000000,,,
2022-01-27 00:00:00+00:00,8.47,8.8588,8.38,8.6,226133,,,,,,,,,9.381539531103199,,,,#000000,,,
2022-01-28 00:00:00+00:00,8.76,8.8,8.15,8.41,105440,,,,,,,8.569999999999999,,9.356917009675929,8.569999999999999,,8.569999999999999,#000000,,8.569999999999999,
2022-01-31 00:00:00+00:00,9.12,9.17,8.63,8.68,131944,,,,,,,8.794182814904683,,9.342886170897966,8.794182814904683,,8.794182814904683,#000000,,8.794182814904683,
2022-02-01 00:00:00+00:00,9.62,9.62,9.0,9.16,141790,,,,,,,9.025710693947017,,9.345550566842252,9.025710693947017,,9.025710693947017,#000000,,9.025710693947017,
2022-02-02 00:00:00+00:00,9.79,9.89,9.27,9.62,131331,,,,,,,9.186313506560497,,9.355854868690553,9.186313506560497,,9.186313506560497,#000000,,9.186313506560497,
2022-02-03 00:00:00+00:00,9.54,9.75,9.52,9.61,74714,,,,,,,9.239553779582229,,9.36052998912853,9.239553779582229,,9.239553779582229,#000000,,9.239553779582229,
