date,Open,High,Low,Close,Volume,aVWAP_peak_62,aVWAP_peak_37,aVWAP_peak_36,aVWAP_peak_18,aVWAP_valley_71,aVWAP_valley_51,aVWAP_valley_50,aVWAP_valley_49,aVWAP_valley_28,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,27.635,27.635,27.635,27.635,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,27.635,27.635,27.635,27.635,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,27.635,27.635,27.635,27.635,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,27.635,27.635,27.635,27.635,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,27.635,27.635,27.635,27.635,20.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,27.635,27.635,27.635,27.635,0.0,,,,,,,,,,,,#000000,-1.0,27.635,27.635,0.0
2024-12-17 15:00:00+00:00,27.635,27.635,27.13,27.13,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,27.13,27.13,27.125,27.13,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,27.13,27.13,27.11,27.11,200.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,27.11,27.13,27.11,27.13,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,27.13,27.13,27.13,27.13,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,27.13,27.13,27.125,27.13,0.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 15:00:00+00:00,27.2,27.2,27.2,27.2,400.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 16:00:00+00:00,27.2,27.2,27.16,27.16,200.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 17:00:00+00:00,27.16,27.175,27.16,27.165,400.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 18:00:00+00:00,27.165,27.165,27.165,27.165,100.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 19:00:00+00:00,27.165,27.165,27.155,27.155,100.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 20:00:00+00:00,27.155,27.16,27.155,27.16,568.0,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-19 15:00:00+00:00,27.21,27.22,27.21,27.21,809.0,,,,27.21333333333333,,,,,,27.21333333333333,,#000000,0.0,0.0,0.0,0.0
2024-12-19 16:00:00+00:00,27.21,27.21,27.185,27.185,788.0,,,,27.203464829889377,,,,,,27.203464829889377,,#000000,0.0,0.0,0.0,0.0
2024-12-19 17:00:00+00:00,27.185,27.21,27.17,27.17,180.0,,,,27.201425623710374,,,,,,27.201425623710374,,#000000,0.0,0.0,0.0,0.0
2024-12-19 18:00:00+00:00,27.17,27.17,27.17,27.17,18.0,,,,27.201110492107706,,,,,,27.201110492107706,,#000000,0.0,0.0,0.0,0.0
2024-12-19 19:00:00+00:00,27.17,27.21,27.17,27.19,625.0,,,,27.198241046831956,,,,,,27.198241046831956,,#000000,0.0,0.0,0.0,0.0
