date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_158,aVWAP_peak_99,aVWAP_peak_60,aVWAP_peak_38,aVWAP_peak_11,aVWAP_valley_191,aVWAP_valley_167,aVWAP_valley_140,aVWAP_valley_101,aVWAP_valley_87,aVWAP_valley_48,aVWAP_valley_31,aVWAP_valley_17,aVWAP_OB_bear_60,aVWAP_OB_bear_38,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2024-09-13 00:00:00+00:00,23.65,26.08,22.0,23.0,1828036,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-16 00:00:00+00:00,21.65,24.2425,20.515,24.0,246001,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-17 00:00:00+00:00,21.5,22.875,20.92,21.98,101382,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-18 00:00:00+00:00,21.0,22.45,20.688,21.5,53549,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-19 00:00:00+00:00,21.23,21.98,20.2852,21.17,119525,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-20 00:00:00+00:00,22.55,24.49,21.0,21.26,438199,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-23 00:00:00+00:00,22.27,23.0,21.4,22.59,106745,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-24 00:00:00+00:00,22.99,23.25,22.12,22.67,106343,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-25 00:00:00+00:00,23.16,23.75,22.15,23.3,132863,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-26 00:00:00+00:00,24.49,25.31,23.05,23.09,154229,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-27 00:00:00+00:00,23.95,24.74,23.29,24.6,88073,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-30 00:00:00+00:00,25.98,26.19,23.28,23.35,125580,,,,,,25.15,,,,,,,,,,,25.15,25.15,,#000000,,25.15,
