date,Open,High,Low,Close,Volume,aVWAP_peak_210,aVWAP_peak_196,aVWAP_peak_176,aVWAP_peak_175,aVWAP_peak_146,aVWAP_peak_145,aVWAP_peak_123,aVWAP_peak_122,aVWAP_peak_102,aVWAP_peak_73,aVWAP_peak_72,aVWAP_peak_71,aVWAP_peak_29,aVWAP_peak_28,aVWAP_valley_216,aVWAP_valley_215,aVWAP_valley_214,aVWAP_valley_202,aVWAP_valley_201,aVWAP_valley_188,aVWAP_valley_170,aVWAP_valley_164,aVWAP_valley_163,aVWAP_valley_162,aVWAP_valley_159,aVWAP_valley_158,aVWAP_valley_157,aVWAP_valley_156,aVWAP_valley_145,aVWAP_valley_144,aVWAP_valley_135,aVWAP_valley_134,aVWAP_valley_120,aVWAP_valley_107,aVWAP_valley_95,aVWAP_valley_79,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,3.325,3.345,3.315,3.345,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,3.34,3.35,3.3,3.305,1315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,3.31,3.32,3.305,3.315,1339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,3.31,3.31,3.28,3.285,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,3.285,3.295,3.26,3.265,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,3.265,3.275,3.25,3.255,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,3.255,3.275,3.255,3.275,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,3.275,3.285,3.27,3.275,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,3.275,3.275,3.26,3.265,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,3.265,3.265,3.255,3.255,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
