date,Open,High,Low,Close,Volume,aVWAP_peak_218,aVWAP_peak_205,aVWAP_peak_184,aVWAP_peak_183,aVWAP_peak_172,aVWAP_peak_171,aVWAP_peak_170,aVWAP_peak_151,aVWAP_peak_135,aVWAP_peak_123,aVWAP_peak_122,aVWAP_peak_100,aVWAP_peak_99,aVWAP_valley_215,aVWAP_valley_214,aVWAP_valley_195,aVWAP_valley_194,aVWAP_valley_167,aVWAP_valley_145,aVWAP_valley_144,aVWAP_valley_143,aVWAP_valley_142,aVWAP_valley_131,aVWAP_valley_130,aVWAP_valley_129,aVWAP_valley_128,aVWAP_valley_121,aVWAP_valley_84,aVWAP_valley_83,aVWAP_valley_60,aVWAP_valley_14,aVWAP_valley_13,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,8.095,8.095,8.095,8.095,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,8.095,8.095,8.095,8.095,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,8.095,8.095,8.095,8.095,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,8.095,8.095,8.095,8.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,8.095,8.095,8.07,8.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,8.07,8.07,8.03,8.03,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.043333333333335,,8.043333333333335,#000000
2025-07-09 14:40:00+00:00,8.03,8.055,8.03,8.055,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.046666666666667,8.044666666666668,,8.045666666666667,#000000
2025-07-09 14:45:00+00:00,8.055,8.055,8.055,8.055,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.046666666666667,8.044666666666668,,8.045666666666667,#000000
2025-07-09 14:50:00+00:00,8.055,8.06,8.045,8.06,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0546632996633,8.054015873015873,,8.054339586339587,#000000
2025-07-09 14:55:00+00:00,8.06,8.06,8.045,8.045,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.054439102564102,8.053833333333333,,8.054136217948717,#000000
2025-07-09 15:00:00+00:00,8.045,8.06,8.045,8.06,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.054580335731414,8.054114942528734,,8.054347639130075,#000000
