date,Close,High,Low,Open,Volume,aVWAP_peak_24,aVWAP_valley_37,Peaks_avg,Valleys_avg,color
2024-07-26 00:00:00+00:00,5.01,6.5,4.5,6.0,161781,,,,,#000000
2024-08-02 00:00:00+00:00,5.12,5.25,4.6923,5.14,47402,,,,,#000000
2024-08-09 00:00:00+00:00,5.7,6.27,4.35,4.82,81118,,,,,#000000
2024-08-16 00:00:00+00:00,5.33,5.9,4.46,5.9,43288,,,,,#000000
2024-08-23 00:00:00+00:00,6.185,6.42,5.55,5.55,69731,,,,,#000000
2024-08-30 00:00:00+00:00,6.1,6.74,5.85,6.17,140047,,,,,#000000
2024-09-06 00:00:00+00:00,6.0,6.2,5.52,6.03,66130,,,,,#000000
2024-09-13 00:00:00+00:00,6.28,6.46,5.79,5.9,102497,,,,,#000000
2024-09-20 00:00:00+00:00,5.9,6.9999,5.8,6.54,219109,,,,,#000000
2024-09-27 00:00:00+00:00,5.39,6.25,4.91,6.25,352382,,,,,#000000
2024-10-04 00:00:00+00:00,7.02,7.03,5.31,5.5,335704,,,,,#000000
2024-10-11 00:00:00+00:00,7.2,7.7,6.0101,7.7,380509,,,,,#000000
2024-10-18 00:00:00+00:00,7.34,7.54,6.55,7.49,293911,,,,,#000000
2024-10-25 00:00:00+00:00,10.68,12.65,7.28,7.49,807069,,,,,#000000
2024-11-01 00:00:00+00:00,9.475,11.3,8.06,11.3,428995,,,,,#000000
2024-11-08 00:00:00+00:00,7.48,9.5499,7.0,9.51,310284,,,,,#000000
2024-11-15 00:00:00+00:00,7.9,8.49,7.1601,7.17,163015,,,,,#000000
2024-11-22 00:00:00+00:00,8.16,8.4374,7.34,8.0,130987,,,,,#000000
2024-11-29 00:00:00+00:00,9.65,9.94,8.25,8.25,116054,,,,,#000000
2024-12-06 00:00:00+00:00,9.4899,10.25,8.85,9.73,189257,,,,,#000000
2024-12-13 00:00:00+00:00,11.1899,11.95,10.0,10.0,382241,,,,,#000000
2024-12-20 00:00:00+00:00,12.6,12.665,10.25,11.1,246562,,,,,#000000
2024-12-27 00:00:00+00:00,14.99,14.99,12.5,12.78,137692,,,,,#000000
2025-01-03 00:00:00+00:00,16.99,18.59,13.75,14.5,307718,,,,,#000000
2025-01-10 00:00:00+00:00,14.26,19.0,14.0,17.59,356971,15.753333333333334,,15.753333333333334,,#000000
2025-01-17 00:00:00+00:00,11.3942,14.8799,10.88,13.88,296729,14.224235581510378,,14.224235581510378,,#000000
2025-01-24 00:00:00+00:00,13.65,14.22,11.4,11.4,141138,14.022831343787455,,14.022831343787455,,#000000
2025-01-31 00:00:00+00:00,12.01,14.3647,11.6495,13.84,184674,13.768665338692465,,13.768665338692465,,#000000
2025-02-07 00:00:00+00:00,12.55,13.0,10.51,11.51,196369,13.476642877326306,,13.476642877326306,,#000000
2025-02-14 00:00:00+00:00,11.62,12.8542,11.31,12.3,102910,13.352022061384542,,13.352022061384542,,#000000
2025-02-21 00:00:00+00:00,11.88,12.32,11.32,12.2,91317,13.25124656151194,,13.25124656151194,,#000000
2025-02-28 00:00:00+00:00,11.32,12.1979,10.8,12.0,82134,13.148768862283285,,13.148768862283285,,#000000
2025-03-07 00:00:00+00:00,11.75,12.19,9.05,12.01,167008,12.926802962338531,,12.926802962338531,,#000000
2025-03-14 00:00:00+00:00,11.22,12.07,10.81,11.52,76338,12.856563208023806,,12.856563208023806,,#000000
2025-03-21 00:00:00+00:00,12.379,12.4,11.22,11.5,44477,12.834660470212322,,12.834660470212322,,#000000
2025-03-28 00:00:00+00:00,11.43,12.56,11.11,12.56,40816,12.80865519431113,,12.80865519431113,,#000000
2025-04-04 00:00:00+00:00,9.393,11.2524,9.2417,11.11,44319,12.739542405982906,,12.739542405982906,,#000000
2025-04-11 00:00:00+00:00,11.0,11.33,8.91,9.01,70495,12.653037926846531,10.413333333333336,12.653037926846531,10.413333333333336,#000000
2025-04-18 00:00:00+00:00,12.895,13.4625,10.8744,11.39,175647,12.63248234518169,11.838607171605549,12.63248234518169,11.838607171605549,#000000
2025-04-25 00:00:00+00:00,12.9,14.0,11.7833,13.19,87929,12.643149412185872,12.116505398553002,12.643149412185872,12.116505398553002,#000000
2025-05-02 00:00:00+00:00,12.93,13.9,11.72,13.06,289135,12.667576629202836,12.456808543242524,12.667576629202836,12.456808543242524,#000000
2025-05-09 00:00:00+00:00,12.28,13.18,11.75,13.18,68337,12.660401643870669,12.451524221921126,12.660401643870669,12.451524221921126,#000000
2025-05-16 00:00:00+00:00,12.1359,12.63,11.5001,12.12,153105,12.62761495201225,12.38575089859918,12.62761495201225,12.38575089859918,#000000
2025-05-23 00:00:00+00:00,12.0,12.5277,12.0,12.25,22686,12.623809018493361,12.380262035617191,12.623809018493361,12.380262035617191,#000000
2025-05-30 00:00:00+00:00,12.5,12.5,11.5843,12.3,26065,12.619695506754276,12.374850190750903,12.619695506754276,12.374850190750903,#000000
2025-06-06 00:00:00+00:00,14.2999,14.62,12.27,13.39,175653,12.687078188031542,12.597505659656095,12.687078188031542,12.597505659656095,#000000
2025-06-13 00:00:00+00:00,13.1933,14.3575,12.25,14.31,78837,12.70245412870811,12.643481942650089,12.70245412870811,12.643481942650089,#000000
2025-06-20 00:00:00+00:00,12.1144,14.0,12.1144,13.6,28998,12.70284512869436,12.645932383029695,12.70284512869436,12.645932383029695,#000000
2025-06-27 00:00:00+00:00,12.5501,13.45,12.33,12.88,31720,12.703617319053805,12.649364390961388,12.703617319053805,12.649364390961388,#000000
2025-07-04 00:00:00+00:00,12.1042,13.091,12.1042,12.625,13472,12.702421511168927,12.646980694974168,12.702421511168927,12.646980694974168,#000000
2025-07-11 00:00:00+00:00,11.283,12.3297,10.577,12.0,105581,12.658691862425439,12.54754261329457,12.658691862425439,12.54754261329457,#000000
