date,Open,High,Low,Close,Volume,aVWAP_peak_154,aVWAP_peak_133,aVWAP_peak_45,aVWAP_peak_44,aVWAP_valley_170,aVWAP_valley_156,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,61.535,61.845,61.45,61.72,2700.0,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,61.72,61.72,61.37,61.385,488.0,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,61.28,61.47,61.27,61.43,471.0,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,61.42,61.645,61.39,61.635,1154.0,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,61.64,61.65,61.55,61.62,938.0,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,61.62,61.705,61.57,61.7,718.0,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,61.68,61.69,61.58,61.6,732.0,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,61.59,61.66,61.53,61.66,879.0,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,61.66,61.725,61.635,61.69,461.0,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,61.75,61.945,61.75,61.895,740.0,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,61.895,61.9,61.8,61.87,810.0,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,61.875,62.02,61.87,62.02,1613.0,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,61.99,61.99,61.935,61.99,331.0,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,61.985,62.055,61.985,62.03,410.0,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,62.03,62.22,62.03,62.18,1098.0,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,62.18,62.18,62.14,62.17,8.0,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,62.15,62.225,62.15,62.185,539.0,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,62.185,62.24,62.13,62.16,1125.0,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,62.19,62.23,62.15,62.225,431.0,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,62.23,62.38,62.185,62.38,2327.0,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,62.39,62.41,62.185,62.31,705.0,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,62.31,62.34,62.23,62.27,600.0,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,62.29,62.33,62.15,62.25,310.0,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,62.25,62.29,62.13,62.23,1009.0,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,62.265,62.45,62.205,62.45,1074.0,,,,,,,,,#000000
