date,Close,High,Low,Open,Volume,aVWAP_peak_844,aVWAP_peak_807,aVWAP_peak_792,aVWAP_peak_734,aVWAP_peak_718,aVWAP_peak_681,aVWAP_peak_664,aVWAP_peak_637,aVWAP_peak_590,aVWAP_peak_561,aVWAP_peak_547,aVWAP_peak_520,aVWAP_peak_499,aVWAP_peak_470,aVWAP_peak_418,aVWAP_peak_390,aVWAP_peak_362,aVWAP_peak_324,aVWAP_peak_312,aVWAP_peak_273,aVWAP_peak_238,aVWAP_peak_217,aVWAP_peak_155,aVWAP_peak_119,aVWAP_peak_106,aVWAP_peak_59,aVWAP_peak_23,aVWAP_valley_826,aVWAP_valley_800,aVWAP_valley_759,aVWAP_valley_746,aVWAP_valley_725,aVWAP_valley_694,aVWAP_valley_675,aVWAP_valley_656,aVWAP_valley_615,aVWAP_valley_573,aVWAP_valley_544,aVWAP_valley_530,aVWAP_valley_511,aVWAP_valley_455,aVWAP_valley_405,aVWAP_valley_393,aVWAP_valley_377,aVWAP_valley_338,aVWAP_valley_307,aVWAP_valley_300,aVWAP_valley_241,aVWAP_valley_196,aVWAP_valley_123,aVWAP_valley_90,aVWAP_valley_44,aVWAP_valley_18,aVWAP_OB_bull_850,aVWAP_OB_bear_763,aVWAP_OB_bear_561,aVWAP_OB_bear_1,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2022-01-03 00:00:00+00:00,255.3582342539,266.6481175768,251.9338563883,264.0996409904,103986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-04 00:00:00+00:00,261.0097781863,263.0080655269,257.541385181,257.541385181,43459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.5197429647333,,,,#000000,,,
2022-01-05 00:00:00+00:00,251.9866745559,261.6347931694,250.551781003,261.6347931694,61543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.1230286883387,,,,#000000,,,
2022-01-06 00:00:00+00:00,250.1996598857,252.6557046787,245.3932066348,252.6557046787,40946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.9608599668404,,,,#000000,,,
2022-01-07 00:00:00+00:00,255.2966130583,257.7350517955,250.1732508019,251.5377201313,70720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.77833122025768,,,,#000000,,,
2022-01-10 00:00:00+00:00,252.6469016508,254.6275829355,246.1854791486,254.6275829355,61018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.98178094882772,,,,#000000,,,
2022-01-11 00:00:00+00:00,256.6962944995,256.9339762537,250.2172659415,253.3863559971,41882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.06488030248747,,,,#000000,,,
2022-01-12 00:00:00+00:00,257.9199153821,260.0502481417,256.7139005554,259.099521125,61215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.73415041123525,,,,#000000,,,
2022-01-13 00:00:00+00:00,250.8950990923,259.8653845551,250.8950990923,259.8653845551,36913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.65912570688945,,,,#000000,,,
2022-01-14 00:00:00+00:00,250.2700841091,251.0799626789,243.2540708473,247.4091000312,45621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.02325618991944,,,,#000000,,,
2022-01-18 00:00:00+00:00,249.4161903997,251.5641292151,245.9918125341,247.7612211485,80209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.2805954158377,,,,#000000,,,
2022-01-19 00:00:00+00:00,243.8262676628,251.5465231593,242.8667376182,251.5465231593,81991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.336741121512,,,,#000000,,,
2022-01-20 00:00:00+00:00,241.0973290039,250.023599327,239.5224673068,246.0886458414,86408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.27000663392764,,,,#000000,,,
2022-01-21 00:00:00+00:00,230.2079834519,238.5268448477,229.976375787,237.5321026914,98476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0382263234328,,,,#000000,,,
2022-01-24 00:00:00+00:00,231.0090589937,232.2502859322,216.589699241,225.1638484468,89592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.80618572115182,,,,#000000,,,
2022-01-25 00:00:00+00:00,221.8803190282,231.9377784406,220.1241149557,227.5230599326,76784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.064293882163,,,,#000000,,,
2022-01-26 00:00:00+00:00,219.9348498552,228.768688385,216.8954284011,225.524772592,87038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.16630874558015,,,,#000000,,,
2022-01-27 00:00:00+00:00,217.3467596431,225.6456151356,215.8233838217,221.580327333,57139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.96531818588045,,,,#000000,,,
