date,Open,High,Low,Close,Volume,aVWAP_peak_878,aVWAP_peak_864,aVWAP_valley_859,aVWAP_valley_838,aVWAP_valley_792,aVWAP_valley_760,aVWAP_valley_739,aVWAP_valley_692,aVWAP_valley_667,aVWAP_valley_637,aVWAP_valley_594,aVWAP_valley_564,aVWAP_valley_526,aVWAP_valley_462,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,439.77,442.31,438.33,441.84,70869.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,70869.0,False,False,False,False
2024-12-19 16:00:00+00:00,441.82,443.13,439.9,442.085,54368.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,54368.0,842.9147286821706,False,False,False,False,70613.17054263565,False,False,False,False
2024-12-19 17:00:00+00:00,442.07,442.11,439.54,440.4,50291.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4077.0,893.0555856018268,False,False,False,False,70298.09813112192,False,False,False,False
2024-12-19 18:00:00+00:00,440.3,440.67,438.9,440.63,28285.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,32362.0,1380.9461966777674,False,False,False,False,69646.7322686239,False,False,False,False
2024-12-19 19:00:00+00:00,440.6,440.71,438.91,439.02,40303.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7941.0,1236.4198990548562,False,False,False,False,69191.79068306384,False,False,False,False
2024-12-19 20:00:00+00:00,438.95,439.2,436.44,437.01,107537.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-115478.0,-573.105990852971,False,False,False,False,69786.29005231867,False,False,False,False
2024-12-20 15:00:00+00:00,429.19,436.86,429.19,435.98,84668.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-200146.0,-3667.2593863436223,False,False,False,False,70017.01423755405,False,False,False,False
2024-12-20 16:00:00+00:00,435.98,442.89,435.98,442.11,58446.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-141700.0,-5807.30187647783,False,False,False,False,69837.61866797956,False,False,False,False
2024-12-20 17:00:00+00:00,442.11,443.72,441.54,441.54,51205.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-192905.0,-8708.041382268872,False,False,False,False,69548.74085917367,False,False,False,False
2024-12-20 18:00:00+00:00,441.56,441.89,439.065,439.245,60608.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-253513.0,-12503.467097272454,False,False,False,False,69410.12472182215,False,False,False,False
