date,Open,High,Low,Close,Volume,aVWAP_peak_202,aVWAP_peak_201,aVWAP_peak_138,aVWAP_peak_137,aVWAP_peak_97,aVWAP_peak_78,aVWAP_valley_206,aVWAP_valley_190,aVWAP_valley_189,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,310.63,310.78,310.44,310.665,909.0,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,310.59,310.66,310.58,310.58,42.0,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,310.78,311.02,310.71,311.02,298.0,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,311.33,311.43,311.26,311.43,168.0,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,311.48,311.52,311.48,311.52,34.0,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,311.45,311.45,311.38,311.38,200.0,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,311.28,311.28,310.81,310.86,146.0,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,310.86,310.86,310.75,310.75,20.0,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,310.73,310.91,310.73,310.91,200.0,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,310.91,310.91,310.775,310.775,82.0,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,310.79,311.02,310.79,311.02,129.0,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,310.985,311.02,310.985,311.02,102.0,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,311.02,311.12,310.74,311.12,211.0,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,311.21,311.21,311.09,311.16,770.0,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,311.38,311.38,311.28,311.28,105.0,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,311.3,311.38,311.0,311.08,573.0,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,311.08,311.11,310.96,311.11,173.0,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,311.24,311.3,311.24,311.3,272.0,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,311.07,311.33,311.07,311.33,316.0,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,311.33,311.33,310.97,311.04,116.0,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,310.895,310.895,310.895,310.895,13.0,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,310.63,310.63,310.31,310.31,142.0,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,310.41,310.76,310.41,310.76,186.0,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,310.76,310.76,310.385,310.52,387.0,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,310.52,310.93,310.52,310.83,524.0,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,310.83,310.83,310.665,310.69,50.0,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,310.28,310.325,310.28,310.315,541.0,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,310.27,310.69,310.27,310.605,731.0,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,310.605,310.63,310.545,310.545,120.0,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,310.545,310.7,310.545,310.7,336.0,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,310.64,310.79,310.64,310.79,231.0,,,,,,,,,,,,#000000
2025-07-09 16:05:00+00:00,310.81,310.87,310.78,310.87,156.0,,,,,,,,,,,,#000000
2025-07-09 16:10:00+00:00,310.85,310.92,310.77,310.91,341.0,,,,,,,,,,,,#000000
2025-07-09 16:15:00+00:00,310.91,311.18,310.87,311.18,92.0,,,,,,,,,,,,#000000
2025-07-09 16:20:00+00:00,311.18,311.18,311.02,311.02,396.0,,,,,,,,,,,,#000000
2025-07-09 16:25:00+00:00,310.91,310.91,310.86,310.86,13.0,,,,,,,,,,,,#000000
2025-07-09 16:30:00+00:00,310.86,310.86,310.77,310.86,16.0,,,,,,,,,,,,#000000
2025-07-09 16:35:00+00:00,310.86,310.86,310.715,310.715,291.0,,,,,,,,,,,,#000000
2025-07-09 16:40:00+00:00,310.715,310.82,310.7,310.8,467.0,,,,,,,,,,,,#000000
2025-07-09 16:45:00+00:00,310.8,311.0,310.795,311.0,41.0,,,,,,,,,,,,#000000
2025-07-09 16:50:00+00:00,311.0,311.0,310.965,310.99,26.0,,,,,,,,,,,,#000000
2025-07-09 16:55:00+00:00,310.99,310.99,310.86,310.86,14.0,,,,,,,,,,,,#000000
2025-07-09 17:00:00+00:00,310.82,310.82,310.675,310.675,125.0,,,,,,,,,,,,#000000
2025-07-09 17:05:00+00:00,310.675,311.025,310.6,311.025,208.0,,,,,,,,,,,,#000000
2025-07-09 17:10:00+00:00,311.025,311.025,310.77,310.77,100.0,,,,,,,,,,,,#000000
2025-07-09 17:15:00+00:00,310.77,310.97,310.77,310.96,218.0,,,,,,,,,,,,#000000
2025-07-09 17:20:00+00:00,310.91,310.92,310.83,310.83,124.0,,,,,,,,,,,,#000000
2025-07-09 17:25:00+00:00,310.995,311.005,310.98,310.98,496.0,,,,,,,,,,,,#000000
2025-07-09 17:30:00+00:00,310.98,311.09,310.98,311.05,43.0,,,,,,,,,,,,#000000
2025-07-09 17:35:00+00:00,311.11,311.11,311.0,311.0,51.0,,,,,,,,,,,,#000000
2025-07-09 17:40:00+00:00,311.14,311.235,311.14,311.15,31.0,,,,,,,,,,,,#000000
2025-07-09 17:45:00+00:00,311.15,311.15,311.03,311.12,312.0,,,,,,,,,,,,#000000
2025-07-09 17:50:00+00:00,311.12,311.15,310.91,311.14,203.0,,,,,,,,,,,,#000000
2025-07-09 17:55:00+00:00,311.14,311.22,311.14,311.16,313.0,,,,,,,,,,,,#000000
