date,Close,High,Low,Open,Volume,aVWAP_peak_161,aVWAP_peak_147,aVWAP_peak_123,aVWAP_peak_83,aVWAP_peak_70,aVWAP_peak_45,aVWAP_valley_172,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,42.45,47.304,40.419,40.419,10427,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,10427.0,False,False,False,False
2022-01-07 00:00:00+00:00,44.85,49.95,43.458,43.5,10084,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,10084,746.9629629629629,False,False,False,False,10401.592592592593,False,False,False,False
2022-01-14 00:00:00+00:00,41.4,45.75,40.35,45.75,8375,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,1709,818.2249657064472,False,False,False,False,10251.47462277092,False,False,False,False
2022-01-21 00:00:00+00:00,37.5,43.5,37.5,42.0,3562,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1853,620.3564497281918,False,False,False,False,9755.957984047149,False,False,False,False
2022-01-28 00:00:00+00:00,32.7,41.55,29.7,37.5,13871,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-15724,-590.3366206220445,False,False,False,False,10060.775911154768,False,False,False,False
2022-02-04 00:00:00+00:00,31.8,33.9,31.65,33.0,1821,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-17545,-1846.2376116870782,False,False,False,False,9450.422139958118,False,False,False,False
2022-02-11 00:00:00+00:00,31.95,33.0,30.75,33.0,1932,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-15613,-2865.9977885991466,False,False,False,False,8893.501981442703,False,False,False,False
2022-02-18 00:00:00+00:00,35.8395,36.1725,31.35,31.9215,2654,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-12959,-3613.627582036247,False,False,False,False,8431.316649483984,False,False,False,False
2022-02-25 00:00:00+00:00,33.9,35.7,33.0,35.7,2511,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-15470,-4491.8773907743025,False,False,False,False,7992.774675448134,False,False,False,False
2022-03-04 00:00:00+00:00,36.15,39.15,33.7515,34.95,3495,,,,,,,,,,#000000,,,,False,False,False,False,-0.12702414130100118,-0.12702414130100118,False,False,False,False,-11975,-5046.1827692354655,False,False,False,False,7659.606180970494,False,False,False,False
2022-03-11 00:00:00+00:00,37.2,37.65,34.68,36.15,1658,,,,,,,,,,#000000,,,,False,False,False,False,-0.13997030081729855,-0.13349722105914985,False,False,False,False,-10317,-5436.613675218023,False,False,False,False,7215.042760157865,False,False,False,False
2022-03-18 00:00:00+00:00,35.625,37.5,34.65,37.2,7308,,,,,,,,,,#000000,,,,False,False,False,False,-0.08213048212800325,-0.10781385159357655,False,False,False,False,-17625,-6339.457106683354,False,False,False,False,7221.928481627652,False,False,False,False
2022-03-25 00:00:00+00:00,36.1695,38.7,33.15,35.7,11449,,,,,,,,,,#000000,,,,False,False,False,False,-0.020089662371330797,-0.06395175698245367,False,False,False,False,-6176,-6327.349172854958,False,False,False,False,7535.044890395974,False,False,False,False
2022-04-01 00:00:00+00:00,30.75,35.1,30.0,31.8,3260,,,,,,,,,,#000000,,,,False,False,False,False,-0.2369775702958313,-0.1504646636391425,False,False,False,False,-9436,-6557.619604495331,False,False,False,False,7218.374898514791,False,False,False,False
2022-04-08 00:00:00+00:00,32.67,32.9985,30.0105,30.9,2262,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.24664645902726823,False,False,False,False,-7174,-6603.277411569752,False,False,False,False,6851.236017143326,False,False,False,False
2022-04-15 00:00:00+00:00,33.45,36.0,32.25,32.25,1459,,,,,,,,,,#000000,,,,False,False,False,False,0.01966742602507511,-0.11348951650109657,False,False,False,False,-5715,-6537.479084786807,False,False,False,False,6451.81112698456,False,False,False,False
2022-04-22 00:00:00+00:00,36.8805,37.35,32.7,34.05,688,,,,,,,,,,#000000,,,,False,False,False,False,0.14067657022780636,0.013593526863354896,False,False,False,False,-5027,-6425.591745172969,False,False,False,False,6024.862154615334,False,False,False,False
2022-04-29 00:00:00+00:00,31.8015,37.326,31.8015,36.6,464,,,,,,,,,,#000000,,,,False,False,False,False,0.07836928941056027,0.045981408136957586,True,False,False,False,-5491,-6356.362727012009,False,False,False,False,5612.946439458642,False,False,False,False
2022-05-06 00:00:00+00:00,34.113,35.1,32.25,33.3,296,,,,,,,,,,#000000,,,,False,False,False,False,-0.040402566811930815,0.0027894206625133852,False,False,False,False,-5195,-6270.335858344452,False,False,False,False,5219.098555054298,False,False,False,False
2022-05-13 00:00:00+00:00,32.1,33.6,29.4345,33.1365,723,,,,,,,,,,#000000,,,,False,False,False,False,-0.34080334570862936,-0.169006962523058,False,False,False,False,-5918,-6244.2369058744935,False,False,False,False,4886.054217642869,False,False,False,False
