date,Close,High,Low,Open,Volume,aVWAP_peak_162,aVWAP_peak_150,aVWAP_peak_121,aVWAP_peak_115,aVWAP_peak_91,aVWAP_peak_80,aVWAP_peak_58,aVWAP_peak_45,aVWAP_peak_12,aVWAP_valley_171,aVWAP_valley_154,aVWAP_valley_129,aVWAP_valley_108,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,5.53,6.17,5.2,5.96,963450,,,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,5.57,6.088,5.31,5.6,500699,,,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,5.53,5.86,5.2,5.53,558377,,,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,5.07,5.65,5.01,5.46,372958,,,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,4.77,6.13,4.25,5.0,1800838,,,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,5.41,5.79,4.757,4.9,625892,,,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,6.15,6.58,5.41,5.49,665626,,,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,6.19,6.61,5.84,6.11,421847,,,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,5.92,6.15,5.35,6.1,333818,,,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,6.09,6.315,5.8,5.85,248916,,,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,5.31,6.1063,4.7,6.05,730091,,,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,7.05,7.255,5.12,5.3,591445,,,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,6.82,7.4,6.69,7.26,582097,,,,,,,,,6.97,,,,,6.97,,#000000
2022-04-01 00:00:00+00:00,4.15,7.3699,4.0,6.87,5091958,,,,,,,,,5.357622090621258,,,,,5.357622090621258,,#000000
2022-04-08 00:00:00+00:00,3.62,4.09,3.51,3.96,3428913,,,,,,,,,4.748294955161877,,,,,4.748294955161877,,#000000
2022-04-15 00:00:00+00:00,3.52,3.8,3.22,3.47,1166145,,,,,,,,,4.608054574080547,,,,,4.608054574080547,,#000000
2022-04-22 00:00:00+00:00,3.02,3.58,2.94,3.5,1036696,,,,,,,,,4.477107866531267,,,,,4.477107866531267,,#000000
2022-04-29 00:00:00+00:00,2.72,3.14,2.58,2.95,1011958,,,,,,,,,4.34042157030031,,,,,4.34042157030031,,#000000
