date,Open,High,Low,Close,Volume,aVWAP_peak_172,aVWAP_valley_223,aVWAP_valley_188,aVWAP_valley_156,aVWAP_valley_98,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,161.215,163.48,161.16,163.37,177725.0,,,,,,,,#000000
2025-07-09 13:35:00+00:00,163.345,164.0,163.275,163.885,146940.0,,,,,,,,#000000
2025-07-09 13:40:00+00:00,163.885,164.155,163.62,163.955,157376.0,,,,,,,,#000000
2025-07-09 13:45:00+00:00,163.955,164.415,163.885,163.99,145432.0,,,,,,,,#000000
2025-07-09 13:50:00+00:00,164.015,164.305,163.795,164.01,71532.0,,,,,,,,#000000
2025-07-09 13:55:00+00:00,164.05,164.225,163.655,164.18,94526.0,,,,,,,,#000000
2025-07-09 14:00:00+00:00,164.18,164.345,163.515,163.56,91275.0,,,,,,,,#000000
2025-07-09 14:05:00+00:00,163.56,163.71,163.285,163.57,92094.0,,,,,,,,#000000
2025-07-09 14:10:00+00:00,163.585,163.745,163.375,163.54,49949.0,,,,,,,,#000000
2025-07-09 14:15:00+00:00,163.525,163.715,162.93,163.44,90862.0,,,,,,,,#000000
2025-07-09 14:20:00+00:00,163.44,163.535,163.18,163.26,46774.0,,,,,,,,#000000
2025-07-09 14:25:00+00:00,163.26,163.495,162.955,163.08,85503.0,,,,,,,,#000000
2025-07-09 14:30:00+00:00,163.055,163.205,162.715,162.91,74540.0,,,,,,,,#000000
2025-07-09 14:35:00+00:00,162.92,163.135,162.56,163.075,48974.0,,,,,,,,#000000
2025-07-09 14:40:00+00:00,163.07,163.135,162.8,162.86,41198.0,,,,,,,,#000000
2025-07-09 14:45:00+00:00,162.86,163.02,162.5,162.62,22622.0,,,,,,,,#000000
2025-07-09 14:50:00+00:00,162.645,163.03,162.42,162.93,31646.0,,,,,,,,#000000
2025-07-09 14:55:00+00:00,162.935,163.155,162.85,163.085,34672.0,,,,,,,,#000000
2025-07-09 15:00:00+00:00,163.11,163.46,163.02,163.41,40266.0,,,,,,,,#000000
2025-07-09 15:05:00+00:00,163.41,163.42,163.015,163.25,52792.0,,,,,,,,#000000
2025-07-09 15:10:00+00:00,163.25,163.425,162.96,163.015,25512.0,,,,,,,,#000000
2025-07-09 15:15:00+00:00,163.015,163.13,162.795,163.025,68594.0,,,,,,,,#000000
2025-07-09 15:20:00+00:00,163.04,163.42,163.025,163.335,37820.0,,,,,,,,#000000
2025-07-09 15:25:00+00:00,163.335,163.41,163.145,163.35,40293.0,,,,,,,,#000000
2025-07-09 15:30:00+00:00,163.35,163.38,163.205,163.255,26565.0,,,,,,,,#000000
2025-07-09 15:35:00+00:00,163.26,163.295,163.04,163.245,58412.0,,,,,,,,#000000
2025-07-09 15:40:00+00:00,163.215,163.365,163.21,163.335,34387.0,,,,,,,,#000000
2025-07-09 15:45:00+00:00,163.34,163.37,163.205,163.235,31759.0,,,,,,,,#000000
2025-07-09 15:50:00+00:00,163.235,163.295,163.005,163.13,40766.0,,,,,,,,#000000
