date,Close,High,Low,Open,Volume,aVWAP_peak_173,aVWAP_peak_143,aVWAP_peak_118,aVWAP_peak_100,aVWAP_peak_67,aVWAP_peak_16,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_149,aVWAP_valley_136,aVWAP_valley_113,aVWAP_valley_92,aVWAP_valley_91,aVWAP_valley_77,aVWAP_valley_44,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,6.76,6.81,6.335,6.68,6021392,,,,,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,6.44,7.11,6.33,6.69,7676179,,,,,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,6.86,7.1,6.4,6.44,7089007,,,,,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,6.92,7.52,6.73,6.84,7970964,,,,,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,5.56,6.92,5.47,6.85,16681608,,,,,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,5.76,6.01,5.55,5.57,8752861,,,,,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,6.4,6.485,5.7993,5.8,10198709,,,,,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,6.58,6.965,6.16,6.5,11647909,,,,,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,6.91,6.9718,6.28,6.67,10339704,,,,,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,7.84,7.865,6.87,7.1,14202808,,,,,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,7.92,8.12,7.41,7.92,19025564,,,,,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,8.02,8.09,7.25,7.73,15292709,,,,,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,8.74,8.81,8.02,8.04,11647531,,,,,,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,8.51,8.63,7.9,8.63,8730539,,,,,,,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,8.56,8.785,7.995,8.56,8075957,,,,,,,,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,8.9,8.95,8.4201,8.73,6891751,,,,,,,,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,7.68,9.07,7.615,8.99,9407958,,,,,,8.121666666666666,,,,,,,,,,8.121666666666666,,#000000
2022-04-29 00:00:00+00:00,7.13,7.48,7.0021,7.35,8677133,,,,,,7.681390945711397,,,,,,,,,,7.681390945711397,,#000000
2022-05-06 00:00:00+00:00,5.8,7.245,5.79,7.01,16565642,,,,,,7.010624468360693,,,,,,,,,,7.010624468360693,,#000000
2022-05-13 00:00:00+00:00,5.54,5.84,5.25,5.75,15588807,,,,,,6.555339282295047,,,,,,,,,,6.555339282295047,,#000000
2022-05-20 00:00:00+00:00,5.83,5.97,5.2937,5.38,10443991,,,,,,6.4077689613238435,,,,,,,,,,6.4077689613238435,,#000000
2022-05-27 00:00:00+00:00,5.95,6.13,5.57,5.91,9863563,,,,,,6.3344448374963065,,,,,,,,,,6.3344448374963065,,#000000
2022-06-03 00:00:00+00:00,6.12,6.38,5.77,5.97,6491611,,,,,,6.313846869293385,,,,,,,,,,6.313846869293385,,#000000
2022-06-10 00:00:00+00:00,6.11,6.27,5.57,6.22,8390775,,,,,,6.281384249660265,,,,,,,,,,6.281384249660265,,#000000
2022-06-17 00:00:00+00:00,5.39,5.95,5.25,5.89,13775711,,,,,,6.177046440630981,,,,,,,,,,6.177046440630981,,#000000
2022-06-24 00:00:00+00:00,5.17,5.63,4.94,5.36,6791627,,,,,,6.117433402123448,,,,,,,,,,6.117433402123448,,#000000
2022-07-01 00:00:00+00:00,4.68,5.1725,4.31,5.15,12070352,,,,,,5.974654893639499,,,,,,,,,,5.974654893639499,,#000000
2022-07-08 00:00:00+00:00,4.34,4.61,4.15,4.61,9630956,,,,,,5.853380883224552,,,,,,,,,,5.853380883224552,,#000000
2022-07-15 00:00:00+00:00,3.9,4.42,3.75,4.3,12354249,,,,,,5.691949396516839,,,,,,,,,,5.691949396516839,,#000000
2022-07-22 00:00:00+00:00,4.08,4.32,3.97,4.02,9740247,,,,,,5.589950328074235,,,,,,,,,,5.589950328074235,,#000000
2022-07-29 00:00:00+00:00,4.46,4.8,3.89,3.97,14301816,,,,,,5.484786408738606,,,,,,,,,,5.484786408738606,,#000000
2022-08-05 00:00:00+00:00,4.01,4.64,3.88,4.52,14534488,,,,,,5.378348716258119,,,,,,,,,,5.378348716258119,,#000000
2022-08-12 00:00:00+00:00,4.31,4.52,4.01,4.05,8834274,,,,,,5.326588618772466,,,,,,,,,,5.326588618772466,,#000000
2022-08-19 00:00:00+00:00,3.8,4.25,3.76,4.23,7343903,,,,,,5.274190878460935,,,,,,,,,,5.274190878460935,,#000000
