date,Open,High,Low,Close,Volume,aVWAP_peak_875,aVWAP_peak_852,aVWAP_peak_842,aVWAP_valley_882,aVWAP_valley_881,aVWAP_valley_861,aVWAP_valley_834,aVWAP_valley_795,aVWAP_valley_794,aVWAP_valley_779,aVWAP_valley_773,aVWAP_valley_772,aVWAP_valley_771,aVWAP_valley_756,aVWAP_valley_737,aVWAP_valley_736,aVWAP_valley_725,aVWAP_valley_689,aVWAP_valley_688,aVWAP_valley_666,aVWAP_valley_611,aVWAP_valley_588,aVWAP_valley_527,aVWAP_valley_526,aVWAP_valley_509,aVWAP_valley_462,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,5.135,5.135,5.105,5.11,1587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1587.0,False,False,False,False
2024-12-19 16:00:00+00:00,5.105,5.105,5.095,5.1,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-400.0,-6.2015503875969,False,False,False,False,1568.596899224806,False,False,False,False
2024-12-19 17:00:00+00:00,5.1,5.105,5.08,5.085,1154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1554.0,-30.198425575386096,False,False,False,False,1562.169040322096,False,False,False,False
2024-12-19 18:00:00+00:00,5.085,5.11,5.08,5.105,1199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-355.0,-35.23410889979871,False,False,False,False,1556.5385125651642,False,False,False,False
2024-12-19 19:00:00+00:00,5.105,5.105,5.09,5.095,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-995.0,-50.114200234685555,False,False,False,False,1542.3286131455493,False,False,False,False
2024-12-19 20:00:00+00:00,5.095,5.1,5.08,5.095,1399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-995.0,-64.76359247910904,False,False,False,False,1540.106464104533,False,False,False,False
2024-12-20 15:00:00+00:00,5.06,5.115,5.055,5.11,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-695.0,-74.53469957245618,False,False,False,False,1520.8800072967108,False,False,False,False
2024-12-20 16:00:00+00:00,5.11,5.16,5.11,5.16,873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,178.0,-70.61943291241809,False,False,False,False,1510.835356020793,False,False,False,False
2024-12-20 17:00:00+00:00,5.16,5.175,5.16,5.175,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,878.0,-55.91215488276819,False,False,False,False,1498.264265229773,False,False,False,False
2024-12-20 18:00:00+00:00,5.175,5.175,5.14,5.145,1573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-695.0,-65.82049356675628,False,False,False,False,1499.422958792102,False,False,False,False
