date,Open,High,Low,Close,Volume,aVWAP_peak_206,aVWAP_peak_205,aVWAP_peak_136,aVWAP_valley_224,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,237.74,237.74,237.74,237.74,0.0,,,,,,,#000000
2025-07-09 13:35:00+00:00,237.74,237.74,237.74,237.74,0.0,,,,,,,#000000
2025-07-09 13:40:00+00:00,237.74,237.74,237.74,237.74,0.0,,,,,,,#000000
2025-07-09 13:45:00+00:00,237.74,237.74,237.51,237.51,181.0,,,,,,,#000000
2025-07-09 13:50:00+00:00,237.51,237.67,237.385,237.67,47.0,,,,,,,#000000
2025-07-09 13:55:00+00:00,237.55,237.67,237.55,237.55,221.0,,,,,,,#000000
2025-07-09 14:00:00+00:00,237.86,237.95,237.64,237.64,327.0,,,,,,,#000000
2025-07-09 14:05:00+00:00,237.64,237.81,237.64,237.805,184.0,,,,,,,#000000
2025-07-09 14:10:00+00:00,237.75,237.805,237.75,237.805,66.0,,,,,,,#000000
2025-07-09 14:15:00+00:00,237.805,238.045,237.78,237.89,31.0,,,,,,,#000000
2025-07-09 14:20:00+00:00,237.89,237.97,237.76,237.83,157.0,,,,,,,#000000
2025-07-09 14:25:00+00:00,237.83,237.83,237.68,237.68,46.0,,,,,,,#000000
2025-07-09 14:30:00+00:00,237.68,237.735,237.53,237.54,1036.0,,,,,,,#000000
2025-07-09 14:35:00+00:00,237.54,237.61,237.53,237.535,418.0,,,,,,,#000000
2025-07-09 14:40:00+00:00,237.55,237.67,237.175,237.175,372.0,,,,,,,#000000
2025-07-09 14:45:00+00:00,237.18,237.38,237.18,237.38,209.0,,,,,,,#000000
2025-07-09 14:50:00+00:00,237.38,237.38,236.8,236.99,180.0,,,,,,,#000000
2025-07-09 14:55:00+00:00,236.99,236.99,236.31,236.31,663.0,,,,,,,#000000
2025-07-09 15:00:00+00:00,236.67,236.9,236.67,236.9,202.0,,,,,,,#000000
2025-07-09 15:05:00+00:00,236.965,236.97,236.8,236.825,11.0,,,,,,,#000000
2025-07-09 15:10:00+00:00,236.86,236.86,236.69,236.77,67.0,,,,,,,#000000
2025-07-09 15:15:00+00:00,236.845,236.845,236.71,236.78,119.0,,,,,,,#000000
2025-07-09 15:20:00+00:00,236.74,236.77,236.64,236.72,619.0,,,,,,,#000000
2025-07-09 15:25:00+00:00,236.72,237.025,236.72,237.025,146.0,,,,,,,#000000
2025-07-09 15:30:00+00:00,236.82,236.845,236.8,236.8,1.0,,,,,,,#000000
2025-07-09 15:35:00+00:00,236.8,236.9,236.655,236.83,391.0,,,,,,,#000000
2025-07-09 15:40:00+00:00,236.85,237.09,236.85,237.0,39.0,,,,,,,#000000
2025-07-09 15:45:00+00:00,237.02,237.07,237.02,237.07,23.0,,,,,,,#000000
2025-07-09 15:50:00+00:00,237.07,237.13,236.935,237.02,166.0,,,,,,,#000000
2025-07-09 15:55:00+00:00,237.06,237.17,236.99,237.075,147.0,,,,,,,#000000
2025-07-09 16:00:00+00:00,237.085,237.2,237.03,237.085,388.0,,,,,,,#000000
2025-07-09 16:05:00+00:00,237.085,237.285,237.085,237.275,44.0,,,,,,,#000000
2025-07-09 16:10:00+00:00,237.275,237.275,237.1,237.1,253.0,,,,,,,#000000
2025-07-09 16:15:00+00:00,237.15,237.25,237.12,237.145,159.0,,,,,,,#000000
2025-07-09 16:20:00+00:00,237.145,237.145,236.93,236.98,3016.0,,,,,,,#000000
2025-07-09 16:25:00+00:00,236.98,236.99,236.855,236.855,173.0,,,,,,,#000000
2025-07-09 16:30:00+00:00,236.96,237.15,236.96,237.15,194.0,,,,,,,#000000
2025-07-09 16:35:00+00:00,237.15,237.22,237.15,237.22,65.0,,,,,,,#000000
2025-07-09 16:40:00+00:00,237.3,237.3,237.13,237.17,161.0,,,,,,,#000000
2025-07-09 16:45:00+00:00,237.11,237.11,237.08,237.095,7.0,,,,,,,#000000
2025-07-09 16:50:00+00:00,237.095,237.095,237.095,237.095,0.0,,,,,,,#000000
2025-07-09 16:55:00+00:00,237.095,237.095,236.845,236.845,439.0,,,,,,,#000000
2025-07-09 17:00:00+00:00,236.845,236.96,236.805,236.805,400.0,,,,,,,#000000
2025-07-09 17:05:00+00:00,236.81,237.01,236.8,236.87,124.0,,,,,,,#000000
2025-07-09 17:10:00+00:00,236.87,237.08,236.87,236.99,382.0,,,,,,,#000000
2025-07-09 17:15:00+00:00,237.13,237.345,237.1,237.24,104.0,,,,,,,#000000
2025-07-09 17:20:00+00:00,237.345,237.37,237.345,237.37,12.0,,,,,,,#000000
2025-07-09 17:25:00+00:00,237.665,237.665,237.4,237.43,37.0,,,,,,,#000000
