date,Open,High,Low,Close,Volume,aVWAP_OB_bull_616,aVWAP_OB_bull_570,aVWAP_OB_bear_849,aVWAP_OB_bear_638,aVWAP_OB_bear_390,aVWAP_OB_bear_328,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,11.605,11.605,11.605,11.605,1.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1.0,False,False,False,False
2024-12-05 16:00:00+00:00,11.605,11.605,11.31,11.31,10.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-10.0,-0.15503875968992248,False,False,False,False,1.1395348837209303,False,False,False,False
2024-12-05 17:00:00+00:00,11.31,11.31,11.24,11.24,7.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-17.0,-0.4162009494621718,False,False,False,False,1.2303948080043265,False,False,False,False
2024-12-05 18:00:00+00:00,11.24,11.24,11.065,11.09,12.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-29.0,-0.8593606246643086,False,False,False,False,1.3973654311360422,False,False,False,False
2024-12-05 19:00:00+00:00,11.09,11.27,11.09,11.26,9.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,8.290723088676323,-42.400170502046706,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-20.0,-1.1561147235067224,False,False,False,False,1.5152357345292817,False,False,False,False
2024-12-05 20:00:00+00:00,11.26,11.26,11.22,11.225,6.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,13.701430165395895,-37.90095140886911,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-26.0,-1.541291239421347,False,False,False,False,1.5847669634513082,False,False,False,False
2024-12-06 15:00:00+00:00,11.5,11.5,11.5,11.5,0.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,24.79482752358698,-28.320470997590746,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-26.0,-1.9204960264070625,False,False,False,False,1.5601969330102026,False,False,False,False
2024-12-06 16:00:00+00:00,11.5,11.5,11.5,11.5,0.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,32.718682779437756,-22.02103771171754,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-26.0,-2.293821669408503,False,False,False,False,1.5360078332736102,False,False,False,False
2024-12-06 17:00:00+00:00,11.5,11.5,11.08,11.2,83.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,33.657638662366274,-22.02103771171754,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-109.0,-3.948181023371162,False,False,False,False,2.7990154637654925,False,False,False,False
2024-12-06 18:00:00+00:00,11.2,11.2,11.01,11.11,387.0,,,,,,,0.0,0.0,0.0,0.0,11.106666666666666,#000000,,11.106666666666666,,33.360890684682495,-22.02103771171754,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-496.0,-11.57689139510184,False,False,False,False,8.755619875179981,False,False,False,False
