date,Close,High,Low,Open,Volume,aVWAP_peak_149,aVWAP_peak_137,aVWAP_peak_103,aVWAP_valley_155,aVWAP_valley_140,aVWAP_valley_130,aVWAP_valley_74,aVWAP_valley_39,aVWAP_valley_27,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,23.2553191511,23.4018247316,22.1955954519,22.5423253258,46213193,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,46213193.0,False,False,False,False
2022-01-07 00:00:00+00:00,24.8082783048,25.5115050914,23.2699697092,23.5678643896,86383125,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,86383125,6398750.0,False,False,False,False,49188743.51851852,False,False,False,False
2022-01-14 00:00:00+00:00,24.7985112661,25.5603402849,22.9232398352,24.7203749565,73823118,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,12560007,6855139.407407408,False,False,False,False,51013511.998628266,False,False,False,False
2022-01-21 00:00:00+00:00,18.8015495027,24.4371308341,18.7820154253,24.310159331,107819417,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-95259410,-708901.2894375855,False,False,False,False,55221356.81354469,False,False,False,False
2022-01-28 00:00:00+00:00,19.0847936251,19.3875718248,17.5611355874,17.9615841742,149800060,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,54540650,3383658.0653355685,False,False,False,False,62227186.67920805,False,False,False,False
2022-02-04 00:00:00+00:00,21.7316611135,22.1516437777,18.8796858123,19.0066573154,95530983,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,150071633,14249433.986421824,False,False,False,False,64694134.554822266,False,False,False,False
2022-02-11 00:00:00+00:00,23.1804385211,24.4334351979,21.4282009808,21.9665979904,96752439,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,246824072,31477184.950390577,False,False,False,False,67068823.77298358,False,False,False,False
2022-02-18 00:00:00+00:00,23.5817890191,24.981621244,22.4707333721,23.2783288864,69579489,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,316403561,52582842.43554683,False,False,False,False,67254798.9749848,False,False,False,False
2022-02-25 00:00:00+00:00,26.3422973227,26.3422973227,21.4282009808,23.562210946,76131395,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,392534956,77764480.47735818,False,False,False,False,67912324.60646741,False,False,False,False
2022-03-04 00:00:00+00:00,30.7571528012,30.8844102762,25.7941112766,25.892001642,116836195,,,,,,,,,,,,#000000,,,,False,False,False,False,0.3428282469073901,0.3428282469073901,False,False,False,False,509371151,109735344.96051684,False,False,False,False,71536315.00598834,False,False,False,False
2022-03-11 00:00:00+00:00,32.6366478164,33.4442433307,27.8987541322,30.84525413,143316882,,,,,,,,,,,,#000000,,,,False,False,False,False,0.342828248343009,0.3428282476251996,False,False,False,False,652688033,149954062.59307116,False,False,False,False,76853394.0425818,False,False,False,False
2022-03-18 00:00:00+00:00,32.264664428,34.0658471509,29.9936079512,32.2157192453,112978518,,,,,,,,,,,,#000000,,,,False,False,False,False,0.34282824895145303,0.3428282482883263,False,False,False,False,539709515,178824836.84543628,False,False,False,False,79529329.1505387,False,False,False,False
2022-03-25 00:00:00+00:00,37.6388454871,38.0304069486,32.793272401,32.8911627664,87318848,,,,,,,,,,,,#000000,,,,False,False,False,False,0.3428282500425039,0.3428282491654151,False,False,False,False,627028363,212025098.04207063,False,False,False,False,80106330.5467951,False,False,False,False
2022-04-01 00:00:00+00:00,37.0319252218,38.4218705197,34.1598219016,37.1983388429,66216055,,,,,,,,,,,,#000000,,,,False,False,False,False,0.3428282502582479,0.3428282497118315,False,False,False,False,560812308,237861187.66858393,False,False,False,False,79077421.2470325,False,False,False,False
2022-04-08 00:00:00+00:00,35.1915863527,37.4245634773,34.2077881807,36.9144567833,52988948,,,,,,,,,,,,#000000,,,,False,False,False,False,0.3207011839450914,0.3317647168284614,False,False,False,False,507823360,257858385.6190592,False,False,False,False,77144941.7472523,False,False,False,False
2022-04-15 00:00:00+00:00,36.2585913353,37.7954700717,34.2420498086,35.1132740604,41012598,,,,,,,,,,,,#000000,,,,False,False,False,False,0.32781782613349636,0.32979127148097886,False,False,False,False,548835958,279412279.86949927,False,False,False,False,74468471.84004843,False,False,False,False
2022-04-22 00:00:00+00:00,32.8813737298,37.5507441583,32.7316014708,36.2879584449,68229982,,,,,,,,,,,,#000000,,,,False,False,False,False,0.2764428479400088,0.30311705971049385,False,False,False,False,480605976,294315516.6199067,False,False,False,False,74006361.48152633,False,False,False,False
2022-04-29 00:00:00+00:00,29.8467724032,33.6449185798,29.8174052936,32.0003604414,81787331,,,,,,,,,,,,#000000,,,,False,False,False,False,0.08764031630419525,0.19537868800734454,False,False,False,False,398818645,302056489.0925062,False,False,False,False,74582729.59400587,False,False,False,False
2022-05-06 00:00:00+00:00,26.6947026381,30.33622423,26.1357026196,29.7293039647,68468792,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.0737247832040247,False,False,False,False,330349853,304152293.8263946,False,False,False,False,74129845.32778321,False,False,False,False
2022-05-13 00:00:00+00:00,23.9291235991,26.3612640305,23.2622463841,25.8414920835,68480065,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.20827651880970932,False,False,False,False,261869788,301020256.3577728,False,False,False,False,73711343.08128075,False,False,False,False
2022-05-20 00:00:00+00:00,23.3308955092,25.2236499578,22.369807758,24.4194744926,68332581,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.27555238661255166,False,False,False,False,193537207,293058548.9979378,False,False,False,False,73312916.26044515,False,False,False,False
2022-05-27 00:00:00+00:00,26.0670534945,26.1209920927,23.2083077858,23.9291235991,57028058,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.292193209199405,-0.2838727979059783,False,False,False,False,250565265,289910898.3314239,False,False,False,False,72106630.46337514,False,False,False,False
2022-06-03 00:00:00+00:00,24.458702564,25.7826499763,24.0320972868,25.4982464581,51879057,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.27829933374355276,-0.28108606582476553,False,False,False,False,198686208,283153513.8624295,False,False,False,False,70608291.68831031,False,False,False,False
