date,Open,High,Low,Close,Volume,aVWAP_OB_bull_873,aVWAP_OB_bull_782,aVWAP_OB_bull_716,aVWAP_OB_bull_117,aVWAP_OB_bear_829,aVWAP_OB_bear_424,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-16 15:00:00+00:00,1.13,1.135,1.11,1.115,1075.0,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1075.0,False,False,False,False
2024-12-16 16:00:00+00:00,1.125,1.125,1.11,1.115,102.0,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1059.9147286821706,False,False,False,False
2024-12-16 17:00:00+00:00,1.115,1.125,1.11,1.125,347.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,347.0,5.37984496124031,False,False,False,False,1048.8617871522142,False,False,False,False
2024-12-16 18:00:00+00:00,1.125,1.125,1.12,1.125,1.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,347.0,10.676281473469142,False,False,False,False,1032.6158679715597,False,False,False,False
2024-12-16 19:00:00+00:00,1.125,1.14,1.115,1.14,751.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1098.0,27.534013543647916,False,False,False,False,1028.2497304836286,False,False,False,False
2024-12-16 20:00:00+00:00,1.14,1.145,1.13,1.135,608.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,93.42710305653242,44.084392750879175,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,490.0,34.70402883754485,False,False,False,False,1021.734230786208,False,False,False,False
2024-12-17 15:00:00+00:00,1.12,1.12,1.09,1.105,233.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,73.76491677954857,26.782798918201763,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,257.0,38.15047800285423,False,False,False,False,1009.5057930996,False,False,False,False
2024-12-17 16:00:00+00:00,1.105,1.105,1.095,1.1,197.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,59.54655694876298,15.376338949304738,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,60.0,38.48923028187974,False,False,False,False,996.9088040592961,False,False,False,False
2024-12-17 17:00:00+00:00,1.1,1.11,1.075,1.11,2570.0,,,,,,,1.0983333333333334,#000000,,1.0983333333333334,,54.17141111369655,12.105132329331951,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2630.0,78.6676918278971,False,False,False,False,1021.2978148490745,False,False,False,False
2024-12-17 18:00:00+00:00,1.11,1.115,1.105,1.11,500.0,,,,,,,1.1002334419109663,"rgba(239, 83, 80, 0.5)",,1.1002334419109663,,50.587980556985585,9.909217077326602,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2630.0,118.2232314894801,False,False,False,False,1013.2156781847477,False,False,False,False
