date,Close,High,Low,Open,Volume,aVWAP_peak_238,aVWAP_peak_219,aVWAP_peak_218,aVWAP_peak_184,aVWAP_peak_167,aVWAP_peak_66,aVWAP_peak_43,aVWAP_peak_38,aVWAP_peak_27,aVWAP_valley_230,aVWAP_valley_202,aVWAP_valley_177,aVWAP_valley_153,aVWAP_valley_89,aVWAP_valley_55,aVWAP_valley_34,aVWAP_valley_14,aVWAP_OB_bull_202,aVWAP_OB_bull_177,aVWAP_OB_bull_89,aVWAP_OB_bull_55,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2024-07-23 00:00:00+00:00,2.65,2.785,2.65,2.785,3183,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-24 00:00:00+00:00,2.63,2.79,2.63,2.79,2284,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-25 00:00:00+00:00,2.56,2.63,2.55,2.55,6185,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-26 00:00:00+00:00,2.675,2.7,2.59,2.6,2527,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-29 00:00:00+00:00,2.75,2.87,2.65,2.87,8459,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-30 00:00:00+00:00,2.62,2.85,2.62,2.85,3961,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-31 00:00:00+00:00,2.67,2.77,2.67,2.76,1832,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-01 00:00:00+00:00,2.74,2.8,2.74,2.79,3039,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-02 00:00:00+00:00,2.6601,2.7,2.63,2.7,11365,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-05 00:00:00+00:00,2.56,2.6795,2.55,2.6,12280,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-06 00:00:00+00:00,2.69,2.69,2.65,2.65,11103,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-07 00:00:00+00:00,2.65,2.76,2.65,2.705,9077,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-08 00:00:00+00:00,2.6717,2.6717,2.6717,2.6717,3438,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-09 00:00:00+00:00,2.62,2.67,2.62,2.635,1593,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-12 00:00:00+00:00,2.845,2.845,2.43,2.43,5065,,,,,,,,,,,,,,,,,2.706666666666667,,,,,2.706666666666667,,2.706666666666667,#000000,,2.706666666666667,
2024-08-13 00:00:00+00:00,3.1,3.1,2.84,2.86,12147,,,,,,,,,,,,,,,,,2.923090092183748,,,,,2.923090092183748,,2.923090092183748,#000000,,2.923090092183748,
2024-08-14 00:00:00+00:00,2.95,3.07,2.95,3.06,6145,,,,,,,,,,,,,,,,,2.940693439511353,,,,,2.940693439511353,,2.940693439511353,#000000,,2.940693439511353,
2024-08-15 00:00:00+00:00,3.15,3.15,3.0,3.0,6312,,,,,,,,,,,,,,,,,2.9745854820407382,,,,,2.9745854820407382,,2.9745854820407382,#000000,,2.9745854820407382,
2024-08-16 00:00:00+00:00,3.18,3.27,2.95,2.95,14446,,,,,,,,,,,,,,,,,3.0265694208319163,,,,,3.0265694208319163,,3.0265694208319163,#000000,,3.0265694208319163,
2024-08-19 00:00:00+00:00,3.2278,3.2278,3.06,3.07,1614,,,,,,,,,,,,,,,,,3.0316976710621266,,,,,3.0316976710621266,,3.0316976710621266,#000000,,3.0316976710621266,
2024-08-20 00:00:00+00:00,3.1501,3.221,3.15,3.22,11299,,,,,,,,,,,,,,,,,3.059832697972926,,,,,3.059832697972926,,3.059832697972926,#000000,,3.059832697972926,
2024-08-21 00:00:00+00:00,3.206,3.2407,3.16,3.16,3140,,,,,,,,,,,,,,,,,3.0672641897132475,,,,,3.0672641897132475,,3.0672641897132475,#000000,,3.0672641897132475,
2024-08-22 00:00:00+00:00,3.0306,3.11,3.01,3.11,2106,,,,,,,,,,,,,,,,,3.0666871080493734,,,,,3.0666871080493734,,3.0666871080493734,#000000,,3.0666871080493734,
2024-08-23 00:00:00+00:00,3.29,3.29,3.14,3.14,1055,,,,,,,,,,,,,,,,,3.06957433350703,,,,,3.06957433350703,,3.06957433350703,#000000,,3.06957433350703,
2024-08-26 00:00:00+00:00,3.24,3.3,3.1901,3.3,4237,,,,,,,,,,,,,,,,,3.080472686459659,,,,,3.080472686459659,,3.080472686459659,#000000,,3.080472686459659,
2024-08-27 00:00:00+00:00,3.2716,3.3,3.2716,3.292,5039,,,,,,,,,,,,,,,,,3.0943944971650255,,,,,3.0943944971650255,,3.0943944971650255,#000000,,3.0943944971650255,
