date,Open,High,Low,Close,Volume,aVWAP_peak_190,aVWAP_peak_189,aVWAP_peak_122,aVWAP_peak_110,aVWAP_peak_109,aVWAP_peak_96,aVWAP_peak_77,aVWAP_valley_167,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,249.87,253.56,249.87,253.56,937.0,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,253.56,253.56,253.56,253.56,0.0,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,253.56,254.45,251.91,252.44,1397.0,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,252.35,252.66,251.84,252.6,817.0,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,252.6,252.97,252.6,252.95,58.0,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,252.95,252.95,252.37,252.37,731.0,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,252.37,252.65,252.23,252.58,711.0,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,252.99,253.28,252.58,253.02,965.0,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,253.02,253.31,252.91,252.91,590.0,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,252.51,252.61,252.015,252.51,785.0,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,252.51,253.0,252.51,253.0,252.0,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,253.55,253.55,252.66,252.66,868.0,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,252.65,253.06,252.5,253.06,255.0,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,253.06,253.06,252.72,252.72,100.0,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,252.73,253.045,252.73,252.9,986.0,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,253.0,253.0,252.88,252.88,168.0,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,252.88,252.94,252.59,252.78,185.0,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,252.92,253.75,252.875,253.43,1094.0,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,253.655,253.69,253.625,253.69,309.0,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,253.69,253.765,253.44,253.54,431.0,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,253.59,253.59,252.74,252.88,421.0,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,253.12,253.12,252.64,252.99,425.0,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,252.99,253.0,252.9,252.9,343.0,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,252.9,253.25,252.72,253.23,771.0,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,253.23,253.51,252.91,253.47,921.0,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,252.97,253.23,252.88,252.94,144.0,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,252.63,253.38,252.545,253.38,312.0,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,253.38,253.425,253.38,253.425,27.0,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,253.425,253.425,253.425,253.425,0.0,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,252.99,253.255,252.99,253.255,7.0,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,253.255,253.36,253.255,253.33,100.0,,,,,,,,,,,#000000
2025-07-09 16:05:00+00:00,253.33,253.38,253.235,253.37,355.0,,,,,,,,,,,#000000
2025-07-09 16:10:00+00:00,253.38,253.38,253.38,253.38,25.0,,,,,,,,,,,#000000
2025-07-09 16:15:00+00:00,253.54,253.66,253.43,253.66,1285.0,,,,,,,,,,,#000000
2025-07-09 16:20:00+00:00,253.66,253.93,253.66,253.93,50.0,,,,,,,,,,,#000000
2025-07-09 16:25:00+00:00,253.93,254.05,253.93,254.03,248.0,,,,,,,,,,,#000000
2025-07-09 16:30:00+00:00,254.04,254.06,253.96,253.96,111.0,,,,,,,,,,,#000000
2025-07-09 16:35:00+00:00,253.96,254.065,253.96,254.065,157.0,,,,,,,,,,,#000000
2025-07-09 16:40:00+00:00,254.07,254.07,254.065,254.065,117.0,,,,,,,,,,,#000000
2025-07-09 16:45:00+00:00,254.08,254.08,253.95,254.06,456.0,,,,,,,,,,,#000000
2025-07-09 16:50:00+00:00,254.06,254.28,254.06,254.13,517.0,,,,,,,,,,,#000000
2025-07-09 16:55:00+00:00,254.13,254.315,254.13,254.315,315.0,,,,,,,,,,,#000000
2025-07-09 17:00:00+00:00,254.315,254.315,254.155,254.16,209.0,,,,,,,,,,,#000000
