date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_185,Gap_Down_aVWAP_3,aVWAP_OB_bull_159,aVWAP_OB_bull_120,aVWAP_OB_bull_95,aVWAP_OB_bull_41,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,113.6758062702,113.9704016551,111.1099754983,111.3475524216,954538,,,,,,,#000000,1.0,118.89199,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,954538.0,False,False,False,False
2022-01-07 00:00:00+00:00,107.0616647249,113.347950116,105.9307985699,113.267173962,1914410,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1914410,-141808.14814814815,False,False,False,False,1025639.6296296297,False,False,False,False
2022-01-14 00:00:00+00:00,104.1632262604,107.4988062638,103.5740354906,106.1873816471,1872936,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3787346,-411847.9890260631,False,False,False,False,1088402.3237311386,False,False,False,False
2022-01-21 00:00:00+00:00,100.4190139489,103.3174524134,100.1719339486,103.0323601054,1749785,,101.30280010363333,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5537131,-791498.5824315399,False,False,False,False,1137393.6330843875,False,False,False,False
2022-01-28 00:00:00+00:00,99.6207554865,101.2932970267,96.7793354836,99.2311293323,2527432,,100.0786379905077,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8064563,-1330244.0948440183,False,False,False,False,1240359.4380410996,False,False,False,False
2022-02-04 00:00:00+00:00,100.2099462564,103.7260847215,99.1931170246,99.3831785632,2461554,,100.43092041717408,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,1.4061825827594783,-48.67071802723518,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5603009,-1646745.1989296465,False,False,False,False,1330818.2944824996,False,False,False,False
2022-02-11 00:00:00+00:00,97.7771585616,101.7589477964,94.3370447119,99.6587677943,3266396,,99.62349144842857,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,2.1591719914322733,-48.01658318434517,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8869405,-2181757.036045969,False,False,False,False,1474194.4208171293,False,False,False,False
2022-02-18 00:00:00+00:00,95.2113277897,98.5183985623,94.4890939428,97.4065385612,2314821,,98.95637303671153,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,2.502921925176579,-47.764571427408434,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-11184226,-2848606.5889314525,False,False,False,False,1536463.0563121568,False,False,False,False
2022-02-25 00:00:00+00:00,96.5966454229,96.6061914893,91.5849605878,94.7836893277,2802575,,98.21005311921422,,,,,"rgba(239, 83, 80, 0.5)",-1.0,103.59433,,94.92926583333333,,0.0,0.0,0.0,0.0,5.1952569106782205,-45.285530969410566,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8381651,-3258461.7304920857,False,False,False,False,1630249.12621496,False,False,False,False
2022-03-04 00:00:00+00:00,101.4746853292,101.7610673197,95.2601961335,95.7852297829,2090383,,98.36654348205106,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,96.88141055520757,,0.0,0.0,0.0,0.0,13.423483395184228,-37.66307693276967,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6291268,-3483114.046751931,False,False,False,False,1664333.1168657036,False,False,False,False
