date,Open,High,Low,Close,Volume,aVWAP_peak_222,aVWAP_peak_210,aVWAP_peak_176,aVWAP_peak_175,aVWAP_peak_174,aVWAP_peak_173,aVWAP_peak_137,aVWAP_peak_109,aVWAP_peak_108,aVWAP_peak_78,aVWAP_peak_62,aVWAP_peak_61,aVWAP_peak_37,aVWAP_peak_36,aVWAP_valley_188,aVWAP_valley_171,aVWAP_valley_158,aVWAP_valley_156,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,17.815,17.845,17.755,17.775,9150.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,17.77,17.785,17.725,17.73,6959.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,17.735,17.765,17.73,17.755,6642.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,17.755,17.76,17.74,17.75,6737.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,17.745,17.755,17.73,17.73,5479.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,17.735,17.735,17.71,17.72,1858.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,17.715,17.73,17.7,17.71,1694.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,17.715,17.72,17.69,17.705,7500.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,17.705,17.705,17.67,17.67,8110.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,17.675,17.685,17.675,17.68,3544.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,17.685,17.705,17.68,17.685,2726.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,17.685,17.685,17.63,17.63,18200.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,17.63,17.635,17.63,17.635,5728.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,17.635,17.635,17.62,17.63,5854.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,17.63,17.65,17.63,17.63,4397.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,17.635,17.65,17.63,17.65,4586.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,17.645,17.655,17.63,17.635,4096.0,,,,,,,,,,,,,,,,,,,,,#000000
