date,Open,High,Low,Close,Volume,aVWAP_peak_867,aVWAP_peak_842,aVWAP_valley_882,aVWAP_valley_860,aVWAP_valley_828,aVWAP_valley_811,aVWAP_valley_786,aVWAP_valley_773,aVWAP_valley_751,aVWAP_valley_720,aVWAP_valley_699,aVWAP_valley_698,aVWAP_valley_688,aVWAP_valley_660,aVWAP_valley_611,aVWAP_valley_599,aVWAP_valley_587,aVWAP_valley_564,aVWAP_valley_540,aVWAP_valley_526,aVWAP_valley_462,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,91.8,92.005,91.4,91.995,54.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,54.0,False,False,False,False
2024-12-19 16:00:00+00:00,91.995,92.14,91.85,91.93,57.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-57.0,-0.8837209302325582,False,False,False,False,54.04651162790697,False,False,False,False
2024-12-19 17:00:00+00:00,91.93,91.93,91.37,91.56,953.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1010.0,-16.5289345592212,False,False,False,False,67.98377501352081,False,False,False,False
2024-12-19 18:00:00+00:00,91.62,92.2,91.585,92.2,1902.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,892.0,-2.4432146435743576,False,False,False,False,96.41813509083057,False,False,False,False
2024-12-19 19:00:00+00:00,92.2,92.64,92.02,92.5,92.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,984.0,12.850478606713617,False,False,False,False,96.34963687236808,False,False,False,False
2024-12-19 20:00:00+00:00,92.5,92.89,92.34,92.77,302.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1286.0,32.58923087637697,False,False,False,False,99.5380145952771,False,False,False,False
2024-12-20 15:00:00+00:00,92.42,92.86,92.4,92.86,34.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1320.0,52.54908776201454,False,False,False,False,98.52192134573792,False,False,False,False
2024-12-20 16:00:00+00:00,92.86,93.725,92.86,93.675,29.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1349.0,72.64910190523912,False,False,False,False,97.44406210006755,False,False,False,False
2024-12-20 17:00:00+00:00,93.675,93.675,93.0,93.34,72.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1277.0,91.32120885244471,False,False,False,False,97.04958051712077,False,False,False,False
2024-12-20 18:00:00+00:00,93.34,93.49,92.82,92.97,432.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,845.0,103.00615135085643,False,False,False,False,102.24261027654525,False,False,False,False
