date,Close,High,Low,Open,Volume,aVWAP_peak_163,aVWAP_peak_137,aVWAP_peak_122,aVWAP_peak_89,aVWAP_peak_33,aVWAP_valley_162,aVWAP_valley_131,aVWAP_valley_115,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,54.1,61.0,53.9,60.7,2670757,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2670757.0,False,False,False,False
2022-01-07 00:00:00+00:00,55.1,59.7,52.2,55.1,2446096,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,2446096,181192.2962962963,False,False,False,False,2654115.4444444445,False,False,False,False
2022-01-14 00:00:00+00:00,55.1,60.499,53.8,55.9,3029873,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,2446096,348962.94101508916,False,False,False,False,2681949.3374485597,False,False,False,False
2022-01-21 00:00:00+00:00,44.6,55.0,44.11,55.0,2836154,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-390058,294220.6490880455,False,False,False,False,2693371.9050449627,False,False,False,False
2022-01-28 00:00:00+00:00,39.1,43.85,37.1,43.7,4412584,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-4802642,-83324.7323258837,False,False,False,False,2820720.949115706,False,False,False,False
2022-02-04 00:00:00+00:00,42.1,45.6,38.7,39.246,2764695,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2037947,-228111.5669684108,False,False,False,False,2816570.878810839,False,False,False,False
2022-02-11 00:00:00+00:00,44.9,48.25,40.7,42.2,3852267,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,1814320,-76820.33978556556,False,False,False,False,2893289.110010036,False,False,False,False
2022-02-18 00:00:00+00:00,41.3,49.0,41.0,43.7,2447363,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-633043,-118022.01831996812,False,False,False,False,2860257.546305589,False,False,False,False
2022-02-25 00:00:00+00:00,37.7,40.97,34.7,40.1,2160484,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2793527,-316207.572518489,False,False,False,False,2808422.468801471,False,False,False,False
2022-03-04 00:00:00+00:00,33.4,38.9,32.9,37.02,1983699,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-4777226,-646653.3819615638,False,False,False,False,2747331.8414828433,False,False,False,False
2022-03-11 00:00:00+00:00,31.7,34.8,31.2,33.0,2558801,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-7336027,-1142162.5388532998,False,False,False,False,2733366.5939655956,False,False,False,False
2022-03-18 00:00:00+00:00,35.5,36.5,28.9,31.8,2598796,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-4737231,-1408463.906345648,False,False,False,False,2723398.4018199956,False,False,False,False
2022-03-25 00:00:00+00:00,44.6,45.6,34.35,35.5,8419917,,,,,,,,,,,#000000,,,,False,False,False,False,-0.04515971807304399,-0.19399398624421896,False,False,False,False,3682686,-1031341.6910607852,False,False,False,False,3145362.742425922,False,False,False,False
2022-04-01 00:00:00+00:00,39.5,45.4,39.2,42.9,7080622,,,,,,,,,,,#000000,,,,False,False,False,False,0.18728124168797394,-0.0033563722781225075,False,False,False,False,-3397936,-1206644.9732044307,False,False,False,False,3436863.42817215,False,False,False,False
2022-04-08 00:00:00+00:00,34.9,42.0,34.3,40.1,3953664,,,,,,,,,,,#000000,,,,False,False,False,False,-0.037578656969723095,-0.0204675146239228,False,False,False,False,-7351600,-1661826.8270411394,False,False,False,False,3475144.95201125,False,False,False,False
2022-04-15 00:00:00+00:00,35.4,37.841,33.3,34.2,1544780,,,,,,,,,,,#000000,,,,False,False,False,False,-0.17782411380409216,-0.09914581421400748,False,False,False,False,-5806820,-1968863.3583714254,False,False,False,False,3332154.9555659723,False,False,False,False
2022-04-22 00:00:00+00:00,30.5,35.5,29.9,35.5,2497081,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.2209870343147007,False,False,False,False,-8303901,-2438125.405899468,False,False,False,False,3270297.6255240487,False,False,False,False
