date,Open,High,Low,Close,Volume,aVWAP_peak_203,aVWAP_peak_152,aVWAP_peak_137,aVWAP_valley_208,aVWAP_valley_188,aVWAP_valley_165,aVWAP_valley_142,aVWAP_valley_114,aVWAP_valley_82,aVWAP_valley_81,aVWAP_valley_80,aVWAP_valley_68,aVWAP_valley_22,aVWAP_valley_21,aVWAP_valley_20,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,177.11,177.11,177.11,177.11,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,177.11,177.11,177.11,177.11,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,177.11,177.11,177.11,177.11,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,177.11,177.11,177.11,177.11,40.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,177.11,177.11,177.11,177.11,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,177.11,178.015,177.11,177.735,9.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,177.735,177.795,177.735,177.795,100.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,177.795,177.795,177.795,177.795,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,177.795,177.88,177.795,177.88,100.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,177.88,177.88,177.88,177.88,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,177.88,177.895,177.71,177.79,108.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,177.79,177.79,177.585,177.585,10.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,177.585,177.585,177.585,177.585,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,177.51,177.51,177.445,177.445,9.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,177.445,177.445,177.4,177.41,8.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,177.41,177.41,177.235,177.235,25.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,177.345,177.345,177.245,177.245,120.0,,,,,,,,,,,,,,,,,,#000000
