date,Open,High,Low,Close,Volume,aVWAP_peak_603,aVWAP_peak_580,aVWAP_peak_546,aVWAP_peak_534,aVWAP_peak_503,aVWAP_valley_610,aVWAP_valley_609,aVWAP_valley_582,aVWAP_valley_555,aVWAP_valley_538,aVWAP_valley_527,aVWAP_valley_501,aVWAP_valley_486,aVWAP_valley_455,aVWAP_valley_420,aVWAP_valley_400,aVWAP_valley_353,aVWAP_valley_338,aVWAP_valley_314,aVWAP_valley_290,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,20.695,20.85,20.65,20.84,5877.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5877.0,False,False,False,False
2023-10-31 16:00:00+00:00,20.83,20.925,20.775,20.87,3666.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3666.0,56.83720930232558,False,False,False,False,5842.720930232558,False,False,False,False
2023-11-01 16:00:00+00:00,20.92,20.95,20.7,20.84,3889.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-223.0,52.4986479177934,False,False,False,False,5812.430683252209,False,False,False,False
2023-11-02 16:00:00+00:00,21.065,21.38,21.01,21.32,3203.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2980.0,97.88626577953303,False,False,False,False,5771.974393589384,False,False,False,False
2023-11-03 16:00:00+00:00,21.525,21.78,21.455,21.58,1602.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4582.0,167.40740894574182,False,False,False,False,5707.3236277973,False,False,False,False
2023-11-06 16:00:00+00:00,21.315,21.415,21.205,21.34,2123.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2459.0,202.93597624890862,False,False,False,False,5651.752718839202,False,False,False,False
2023-11-06 20:00:00+00:00,21.34,21.41,21.285,21.295,1605.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,854.0,213.02999212101855,False,False,False,False,5589.012366609138,False,False,False,False
2023-11-07 16:00:00+00:00,21.05,21.105,20.89,20.915,12365.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-11511.0,31.262085266429096,False,False,False,False,5694.0664384446545,False,False,False,False
2023-11-07 20:00:00+00:00,20.925,20.96,20.87,20.96,2367.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-9144.0,-110.9900400865388,False,False,False,False,5642.484013042412,False,False,False,False
2023-11-08 16:00:00+00:00,20.91,21.13,20.735,21.12,1166.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7978.0,-232.95918675186377,False,False,False,False,5573.081160127026,False,False,False,False
2023-11-08 20:00:00+00:00,21.11,21.19,21.11,21.185,888.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7090.0,-339.2698970347806,False,False,False,False,5500.444242915753,False,False,False,False
2023-11-09 16:00:00+00:00,21.64,21.715,21.365,21.37,1289.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5801.0,-423.9478831272647,False,False,False,False,5435.15053372326,False,False,False,False
