date,Open,High,Low,Close,Volume,aVWAP_peak_607,aVWAP_peak_576,aVWAP_peak_563,aVWAP_peak_548,aVWAP_peak_536,aVWAP_peak_467,aVWAP_peak_445,aVWAP_peak_385,aVWAP_valley_616,aVWAP_valley_596,aVWAP_valley_579,aVWAP_valley_554,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,100.23,103.29,100.23,102.15,14511.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,14511.0,False,False,False,False
2023-10-31 16:00:00+00:00,92.27,92.525,89.51,92.06,37039.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-37039.0,-574.2480620155038,False,False,False,False,14860.271317829456,False,False,False,False
2023-11-01 16:00:00+00:00,96.595,96.95,95.065,96.4,28475.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-8564.0,-698.1201850850309,False,False,False,False,15071.352382669309,False,False,False,False
2023-11-02 16:00:00+00:00,97.27,97.94,95.7,97.87,17304.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,8740.0,-551.7927403550304,False,False,False,False,15105.96707441087,False,False,False,False
2023-11-03 16:00:00+00:00,98.2,98.88,96.835,97.74,11703.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2963.0,-589.1757986440997,False,False,False,False,15053.20789496264,False,False,False,False
2023-11-06 16:00:00+00:00,96.47,96.47,94.53,95.555,9607.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-12570.0,-774.9250110682221,False,False,False,False,14968.770563257793,False,False,False,False
2023-11-06 20:00:00+00:00,95.555,96.53,95.34,96.3,7444.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5126.0,-842.3835380284047,False,False,False,False,14852.107453749919,False,False,False,False
2023-11-07 16:00:00+00:00,92.365,94.445,91.96,92.86,14717.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-19843.0,-1136.9667389892047,False,False,False,False,14850.012764544494,False,False,False,False
2023-11-07 20:00:00+00:00,92.94,93.33,92.43,92.755,11126.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-30969.0,-1599.4788825707674,False,False,False,False,14792.276132536052,False,False,False,False
2023-11-08 16:00:00+00:00,92.26,93.345,91.83,93.1,12126.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-18843.0,-1866.8202952440888,False,False,False,False,14750.938518078128,False,False,False,False
