date,Close,High,Low,Open,Volume,aVWAP_OB_bull_840,aVWAP_OB_bear_764,aVWAP_OB_bear_710,aVWAP_OB_bear_664,aVWAP_OB_bear_598,aVWAP_OB_bear_272,aVWAP_OB_bear_63,Peaks_Valleys_avg
2022-01-03 00:00:00+00:00,70.45,71.45,69.0,71.24,153847,,,,,,,,
2022-01-04 00:00:00+00:00,67.66,70.855,67.56,70.55,141528,,,,,,,,
2022-01-05 00:00:00+00:00,62.98,67.44,61.77,67.44,235991,,,,,,,,
2022-01-06 00:00:00+00:00,62.34,63.51,61.38,62.55,257129,,,,,,,,
2022-01-07 00:00:00+00:00,59.24,63.0607,59.02,62.1,406651,,,,,,,,
2022-01-10 00:00:00+00:00,59.07,59.28,57.06,58.46,312393,,,,,,,,
2022-01-11 00:00:00+00:00,59.11,59.9094,57.44,59.12,358556,,,,,,,,
2022-01-12 00:00:00+00:00,59.01,60.22,58.75,59.68,209644,,,,,,,,
2022-01-13 00:00:00+00:00,59.47,60.0,58.74,59.1,188378,,,,,,,,
2022-01-14 00:00:00+00:00,54.25,59.48,53.0545,58.71,251331,,,,,,,,
2022-01-18 00:00:00+00:00,53.01,53.13,51.5,53.13,332077,,,,,,,,
2022-01-19 00:00:00+00:00,50.58,53.55,50.25,53.05,222756,,,,,,,,
2022-01-20 00:00:00+00:00,50.03,52.33,49.73,50.86,248932,,,,,,,,
2022-01-21 00:00:00+00:00,47.2,50.4482,47.195,49.81,314612,,,,,,,,
2022-01-24 00:00:00+00:00,47.14,47.48,42.91,46.11,270165,,,,,,,,
2022-01-25 00:00:00+00:00,45.03,46.5348,43.25,45.98,252985,,,,,,,,
2022-01-26 00:00:00+00:00,43.97,46.44,42.995,45.96,274302,,,,,,,,
2022-01-27 00:00:00+00:00,41.41,45.0,41.17,44.55,280342,,,,,,,,
2022-01-28 00:00:00+00:00,42.7,42.78,39.8271,41.83,324301,,,,,,,,41.76903333333333
2022-01-31 00:00:00+00:00,45.77,45.82,42.32,42.32,221367,,,,,,,,42.93237695637885
2022-02-01 00:00:00+00:00,46.34,46.55,44.19,46.01,147532,,,,,,,,43.51998430808809
2022-02-02 00:00:00+00:00,44.46,46.57,44.03,46.57,210483,,,,,,,,43.86936324171935
2022-02-03 00:00:00+00:00,43.92,45.79,43.52,43.96,164713,,,,,,,,43.95271239537275
2022-02-04 00:00:00+00:00,42.86,44.34,42.34,43.55,181298,,,,,,,,43.84061198370694
