date,Close,High,Low,Open,Volume,aVWAP_peak_167,aVWAP_peak_133,aVWAP_peak_119,aVWAP_peak_102,aVWAP_peak_82,aVWAP_peak_57,aVWAP_peak_33,aVWAP_peak_14,aVWAP_valley_136,aVWAP_valley_111,aVWAP_valley_96,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,191.7397615637,193.4511094536,185.9056909286,186.5473645822,2424326,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,179.7345271207,192.9179256889,176.4408274131,191.9117563265,9312527,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,180.8352936026,181.5318723919,176.3935288534,178.7455572346,4781917,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,169.0536523511,180.7449963521,168.4430709432,180.2591111472,3824350,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,163.016636177,169.5954358539,157.4010071717,166.9037178162,6318785,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,163.9196086817,171.1691879335,162.6339478298,163.137032511,5186649,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,159.6541385644,164.4355929701,157.7191974829,163.8938094673,6027430,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,159.6197396118,161.356886716,157.1430150276,159.8691320179,3919391,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,166.5597282906,166.7489225297,156.6356304773,159.6455388262,4472815,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,167.4025026283,168.0904816795,160.7119063556,164.1690010877,5334147,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,162.0448657672,168.8902573264,161.2622895965,167.6432952962,4611923,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,168.245276966,168.7655611234,161.1160940481,163.1800312017,6457480,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,167.694893725,168.7698609925,162.58664927,167.5916968673,3544624,,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,178.1368138249,178.3270847335,167.4025026283,168.2624764422,4601364,,,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,175.4730211047,178.8978974593,173.6481501178,177.7303259748,3803690,,,,,,,,176.00635622726668,,,,176.00635622726668,,#000000
2022-04-15 00:00:00+00:00,169.6697583929,175.4730211047,168.9346207915,175.4730211047,3405906,,,,,,,,173.81094832791018,,,,173.81094832791018,,#000000
2022-04-22 00:00:00+00:00,169.3238112863,175.9054549879,167.2178582754,169.9378674004,3509189,,,,,,,,172.83034616374925,,,,172.83034616374925,,#000000
2022-04-29 00:00:00+00:00,157.5443123093,169.4924605008,157.1551218145,169.254621865,5303299,,,,,,,,169.04601499998702,,,,169.04601499998702,,#000000
2022-05-06 00:00:00+00:00,152.80483695,159.7237790804,150.495640014,157.4405281774,4358328,,,,,,,,165.90145374854106,,,,165.90145374854106,,#000000
2022-05-13 00:00:00+00:00,143.9572397007,151.7756443081,138.1669500054,151.135642161,6526388,,,,,,,,160.7427441674583,,,,160.7427441674583,,#000000
2022-05-20 00:00:00+00:00,138.1280309559,144.3723762286,135.7323472432,144.2426460636,5358601,,,,,,,,157.19997882978868,,,,157.19997882978868,,#000000
2022-05-27 00:00:00+00:00,145.8080567206,146.2664366368,136.173429804,139.6069548362,4872231,,,,,,,,155.30413884328541,,,,155.30413884328541,,#000000
