date,Open,High,Low,Close,Volume,aVWAP_peak_196,aVWAP_peak_171,aVWAP_peak_170,aVWAP_peak_169,aVWAP_peak_149,aVWAP_valley_223,aVWAP_valley_222,aVWAP_valley_205,aVWAP_valley_183,aVWAP_valley_160,aVWAP_valley_138,aVWAP_valley_137,aVWAP_valley_136,aVWAP_valley_135,aVWAP_valley_107,aVWAP_valley_106,aVWAP_valley_76,aVWAP_valley_48,aVWAP_valley_47,aVWAP_valley_46,aVWAP_valley_45,aVWAP_valley_44,aVWAP_valley_43,aVWAP_valley_42,aVWAP_valley_41,aVWAP_valley_40,aVWAP_valley_24,aVWAP_valley_23,aVWAP_valley_22,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,198.58,198.58,198.58,198.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,198.58,198.58,198.58,198.58,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,198.58,198.58,198.58,198.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,198.58,198.58,198.58,198.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,198.58,198.58,198.58,198.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,198.58,198.58,198.58,198.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,198.58,198.58,198.58,198.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,198.58,198.62,198.37,198.37,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,198.37,198.37,198.37,198.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,198.37,198.37,197.67,197.67,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,197.67,197.67,197.67,197.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
