date,Open,High,Low,Close,Volume,aVWAP_peak_204,aVWAP_peak_116,aVWAP_peak_98,aVWAP_valley_223,aVWAP_valley_192,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,7.525,7.56,7.525,7.525,138.0,,,,,,,,#000000
2025-07-09 13:35:00+00:00,7.525,7.59,7.525,7.585,3.0,,,,,,,,#000000
2025-07-09 13:40:00+00:00,7.585,7.64,7.585,7.64,461.0,,,,,,,,#000000
2025-07-09 13:45:00+00:00,7.625,7.635,7.61,7.63,950.0,,,,,,,,#000000
2025-07-09 13:50:00+00:00,7.625,7.64,7.59,7.59,405.0,,,,,,,,#000000
2025-07-09 13:55:00+00:00,7.59,7.59,7.54,7.545,1079.0,,,,,,,,#000000
2025-07-09 14:00:00+00:00,7.545,7.55,7.515,7.54,703.0,,,,,,,,#000000
2025-07-09 14:05:00+00:00,7.535,7.55,7.525,7.54,336.0,,,,,,,,#000000
2025-07-09 14:10:00+00:00,7.545,7.56,7.495,7.5,1593.0,,,,,,,,#000000
2025-07-09 14:15:00+00:00,7.505,7.51,7.47,7.47,365.0,,,,,,,,#000000
2025-07-09 14:20:00+00:00,7.47,7.48,7.45,7.48,912.0,,,,,,,,#000000
2025-07-09 14:25:00+00:00,7.485,7.495,7.45,7.47,501.0,,,,,,,,#000000
2025-07-09 14:30:00+00:00,7.47,7.495,7.44,7.46,744.0,,,,,,,,#000000
2025-07-09 14:35:00+00:00,7.45,7.475,7.44,7.465,1638.0,,,,,,,,#000000
2025-07-09 14:40:00+00:00,7.46,7.475,7.39,7.44,2377.0,,,,,,,,#000000
2025-07-09 14:45:00+00:00,7.45,7.46,7.395,7.41,1483.0,,,,,,,,#000000
2025-07-09 14:50:00+00:00,7.41,7.425,7.37,7.41,2324.0,,,,,,,,#000000
2025-07-09 14:55:00+00:00,7.41,7.42,7.395,7.41,604.0,,,,,,,,#000000
2025-07-09 15:00:00+00:00,7.41,7.455,7.395,7.44,457.0,,,,,,,,#000000
2025-07-09 15:05:00+00:00,7.435,7.44,7.405,7.42,1160.0,,,,,,,,#000000
2025-07-09 15:10:00+00:00,7.415,7.42,7.38,7.39,303.0,,,,,,,,#000000
2025-07-09 15:15:00+00:00,7.39,7.41,7.385,7.405,231.0,,,,,,,,#000000
2025-07-09 15:20:00+00:00,7.405,7.445,7.405,7.42,1530.0,,,,,,,,#000000
2025-07-09 15:25:00+00:00,7.435,7.45,7.43,7.45,250.0,,,,,,,,#000000
2025-07-09 15:30:00+00:00,7.445,7.465,7.425,7.435,1783.0,,,,,,,,#000000
2025-07-09 15:35:00+00:00,7.435,7.45,7.425,7.45,403.0,,,,,,,,#000000
2025-07-09 15:40:00+00:00,7.45,7.465,7.445,7.46,406.0,,,,,,,,#000000
2025-07-09 15:45:00+00:00,7.46,7.49,7.46,7.49,32.0,,,,,,,,#000000
2025-07-09 15:50:00+00:00,7.5,7.5,7.41,7.415,1582.0,,,,,,,,#000000
2025-07-09 15:55:00+00:00,7.41,7.46,7.4,7.455,753.0,,,,,,,,#000000
2025-07-09 16:00:00+00:00,7.455,7.47,7.45,7.46,11.0,,,,,,,,#000000
2025-07-09 16:05:00+00:00,7.47,7.48,7.46,7.465,1357.0,,,,,,,,#000000
2025-07-09 16:10:00+00:00,7.47,7.535,7.46,7.515,3041.0,,,,,,,,#000000
2025-07-09 16:15:00+00:00,7.515,7.545,7.49,7.525,3054.0,,,,,,,,#000000
