date,Open,High,Low,Close,Volume,aVWAP_peak_864,aVWAP_peak_852,aVWAP_peak_841,aVWAP_peak_798,aVWAP_peak_794,aVWAP_peak_793,aVWAP_peak_773,aVWAP_peak_772,aVWAP_peak_744,aVWAP_peak_727,aVWAP_peak_702,aVWAP_peak_685,aVWAP_peak_684,aVWAP_peak_629,aVWAP_peak_579,aVWAP_peak_569,aVWAP_peak_552,aVWAP_peak_534,aVWAP_peak_505,aVWAP_peak_488,aVWAP_peak_487,aVWAP_peak_462,aVWAP_peak_449,aVWAP_peak_425,aVWAP_peak_384,aVWAP_peak_360,aVWAP_peak_338,aVWAP_peak_259,aVWAP_peak_245,aVWAP_peak_204,aVWAP_peak_187,aVWAP_peak_186,aVWAP_peak_162,aVWAP_valley_882,aVWAP_valley_881,aVWAP_valley_858,aVWAP_valley_816,aVWAP_valley_791,aVWAP_valley_754,aVWAP_valley_721,aVWAP_valley_720,aVWAP_valley_698,aVWAP_valley_668,aVWAP_valley_666,aVWAP_valley_594,aVWAP_valley_564,aVWAP_valley_561,aVWAP_valley_539,aVWAP_valley_523,aVWAP_valley_501,aVWAP_valley_474,aVWAP_valley_460,aVWAP_valley_456,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,5.14,5.16,5.11,5.15,2532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2532.0,False,False,False,False
2024-12-19 16:00:00+00:00,5.14,5.155,5.125,5.14,1390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1390.0,-21.550387596899224,False,False,False,False,2514.294573643411,False,False,False,False
2024-12-19 17:00:00+00:00,5.14,5.165,5.13,5.155,2261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,871.0,-7.712397091520941,False,False,False,False,2510.3675259900247,False,False,False,False
2024-12-19 18:00:00+00:00,5.15,5.16,5.13,5.15,1902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1031.0,-23.577321167621392,False,False,False,False,2500.9354713235125,False,False,False,False
2024-12-19 19:00:00+00:00,5.155,5.155,5.135,5.14,1524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2555.0,-62.82418440533269,False,False,False,False,2485.789184946404,False,False,False,False
2024-12-19 20:00:00+00:00,5.14,5.16,5.13,5.145,6431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3876.0,-1.7571427866453604,False,False,False,False,2546.9552440945217,False,False,False,False
2024-12-20 15:00:00+00:00,5.18,5.195,5.145,5.175,796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4672.0,70.70420826431038,False,False,False,False,2519.8086511628235,False,False,False,False
2024-12-20 16:00:00+00:00,5.17,5.18,5.15,5.175,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4672.0,142.04212751602648,False,False,False,False,2485.113943392857,False,False,False,False
2024-12-20 17:00:00+00:00,5.17,5.175,5.12,5.155,1378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3294.0,190.9096914305067,False,False,False,False,2467.9493861309525,False,False,False,False
2024-12-20 18:00:00+00:00,5.155,5.16,5.12,5.15,1012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2282.0,223.32969621452986,False,False,False,False,2445.3765274312477,False,False,False,False
