date,Close,High,Low,Open,Volume,aVWAP_peak_164,aVWAP_peak_118,aVWAP_peak_101,aVWAP_peak_85,aVWAP_peak_55,aVWAP_peak_32,aVWAP_valley_171,aVWAP_valley_150,aVWAP_valley_138,aVWAP_valley_108,aVWAP_valley_95,aVWAP_valley_75,aVWAP_valley_48,aVWAP_valley_23,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,5.03,5.75,5.02,5.67,330427,,,,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,5.08,5.45,4.5762,5.3,155212,,,,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,4.71,5.0376,4.41,4.96,131398,,,,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,5.72,5.88,4.505,4.74,256288,,,,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,4.77,5.47,4.6,5.47,172563,,,,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,5.21,5.5,4.7,4.7,52092,,,,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,7.26,7.98,5.25,5.34,844683,,,,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,6.54,7.42,6.5,7.24,176174,,,,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,6.07,6.6,5.57,6.6,105210,,,,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,6.47,7.47,5.92,6.06,237224,,,,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,6.83,7.45,6.1101,6.62,295342,,,,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,6.7,6.84,6.155,6.83,198420,,,,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,6.88,7.25,6.26,7.17,65036,,,,,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,7.03,7.94,6.67,7.0,184569,,,,,,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,5.66,7.4399,5.63,7.4,213637,,,,,,,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,5.36,6.135,5.19,5.5,194858,,,,,,,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,5.28,5.785,5.13,5.29,108782,,,,,,,,,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,5.31,5.55,5.05,5.28,123916,,,,,,,,,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,5.3,5.93,5.07,5.1701,76525,,,,,,,,,,,,,,,,,#000000
2022-05-13 00:00:00+00:00,4.98,5.16,4.06,5.07,182695,,,,,,,,,,,,,,,,,#000000
2022-05-20 00:00:00+00:00,5.11,5.5,4.75,4.89,80014,,,,,,,,,,,,,,,,,#000000
2022-05-27 00:00:00+00:00,5.24,5.41,4.69,5.41,55342,,,,,,,,,,,,,,,,,#000000
2022-06-03 00:00:00+00:00,5.5,5.85,5.09,5.23,49802,,,,,,,,,,,,,,,,,#000000
2022-06-10 00:00:00+00:00,5.41,6.0,2.3,5.58,46146,,,,,,,,,,,,,,4.57,,4.57,#000000
2022-06-17 00:00:00+00:00,5.06,5.38,4.69,5.355,53026,,,,,,,,,,,,,,4.823085279447156,,4.823085279447156,#000000
2022-06-24 00:00:00+00:00,5.3853,5.62,5.21,5.38,24502,,,,,,,,,,,,,,4.938392657578257,,4.938392657578257,#000000
