date,Close,High,Low,Open,Volume,aVWAP_peak_168,aVWAP_peak_126,aVWAP_peak_115,aVWAP_peak_26,aVWAP_valley_167,aVWAP_OB_bear_126,aVWAP_OB_bear_69,aVWAP_OB_bear_26,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,35.53,42.55,35.0,42.32,111704,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,111704.0,False,False,False,False
2022-01-07 00:00:00+00:00,37.49,40.1999,35.0,36.05,58937,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,58937,4365.7037037037035,False,False,False,False,107795.33333333334,False,False,False,False
2022-01-14 00:00:00+00:00,35.97,37.86,34.5,37.09,41487,,,,,,,,,,,#000000,,,,87.03366696997269,-8.348498635122915,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,17450,5334.910836762689,False,False,False,False,102883.60493827162,False,False,False,False
2022-01-21 00:00:00+00:00,32.98,36.34,32.41,35.5,43974,,,,,,,,,,,#000000,,,,70.14301153980065,-8.348498635122915,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26524,2974.9915155210083,False,False,False,False,98519.93049839964,False,False,False,False
2022-01-28 00:00:00+00:00,33.0,36.48,29.4101,32.0,56852,,,,,,,,,,,#000000,,32.963366666666666,,58.15016483326796,-8.348498635122915,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,30328,5001.140292149082,False,False,False,False,95433.41712814782,False,False,False,False
2022-02-04 00:00:00+00:00,35.99,37.0,32.95,33.0,27725,,,,,,,,,,,#000000,,33.73370406138785,,56.94491963048904,-8.348498635122915,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,58053,8930.907677915817,False,False,False,False,90417.9788223591,False,False,False,False
2022-02-11 00:00:00+00:00,40.38,43.95,34.87,35.49,49569,,,,,,,,,,,#000000,,37.84199611517799,,60.83173320105625,-8.348498635122915,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,107622,16241.358961033164,False,False,False,False,87392.12853922139,False,False,False,False
2022-02-18 00:00:00+00:00,36.54,41.25,35.6,40.0,17775,,,,,,,,,,,#000000,,37.69440391598282,,58.51554629830942,-8.348498635122915,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,89847,21693.6286676233,False,False,False,False,82235.30420298278,False,False,False,False
2022-02-25 00:00:00+00:00,35.05,39.68,31.05,35.0,21127,,,,,,,,,,,#000000,,37.165973839492594,,55.42926793387429,-8.348498635122915,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,68720,25177.063581132687,False,False,False,False,77708.76315090997,False,False,False,False
2022-03-04 00:00:00+00:00,34.5,39.69,33.01,35.5,30745,,,,,,,,,,,#000000,,36.81377052719721,,52.73088433945159,-8.348498635122915,False,False,False,False,False,,,,-1.0,39.69,33.01,0.0,,,False,False,False,False,0.017609607424083122,0.017609607424083122,False,False,False,False,37975,26125.058871419154,False,False,False,False,74229.9658804722,False,False,False,False
2022-03-11 00:00:00+00:00,34.35,35.99,31.51,34.5,26297,,,,,,,,,,,#000000,,36.36456388408604,,50.66583213161382,-8.348498635122915,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.25309254976211676,-0.11774147116901681,False,False,False,False,11678,25054.906362425143,False,False,False,False,70679.37581525203,False,False,False,False
2022-03-18 00:00:00+00:00,35.57,36.61,33.0,34.0,29360,,,,,,,,,,,#000000,,36.16502482046353,,50.49329525080819,-8.348498635122915,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.14104761824256554,-0.12939454470579118,False,False,False,False,41038,26238.839224467723,False,False,False,False,67618.68131041854,False,False,False,False
2022-03-25 00:00:00+00:00,37.0,37.81,34.54,35.9,24847,,,,,,,,,,,#000000,,36.18644310549843,,51.72647465426094,-8.348498635122915,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.000257779721596487,-0.06482616221369383,False,False,False,False,65885,29175.591874507154,False,False,False,False,64450.40862075791,False,False,False,False
2022-04-01 00:00:00+00:00,36.77,37.71,34.0,36.99,21085,,,,,,,,,,,#000000,,36.17860024679675,,52.354901813598026,-8.348498635122915,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.03293815193053251,-0.04888215707211317,False,False,False,False,44800,30332.955439358477,False,False,False,False,61238.1561303314,False,False,False,False
2022-04-08 00:00:00+00:00,35.02,39.0,34.7,37.0,11995,,,,,,,,,,,#000000,,36.19909624284444,,51.01434773538302,-8.348498635122915,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,0.031494501593556934,-0.008693827739278119,False,False,False,False,32805,30516.06985125785,False,False,False,False,57590.514935492036,False,False,False,False
2022-04-15 00:00:00+00:00,33.0,36.28,33.0,35.0,14546,,,,,,,,,,,#000000,,35.733713432470005,,48.346451640997984,-8.348498635122915,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.23020100879660316,-0.11944741826794064,False,False,False,False,18259,29608.138751164675,False,False,False,False,54402.032347677814,False,False,False,False
2022-04-22 00:00:00+00:00,30.9,33.99,29.61,33.0,21223,,,,,,,,,,,#000000,,34.991901092333094,,44.97942454781965,-8.348498635122915,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.34282825441539394,-0.2311378363416673,False,False,False,False,-2964,27195.387732559884,False,False,False,False,51944.32624784983,False,False,False,False
2022-04-29 00:00:00+00:00,30.47,33.0,28.0,30.0,26153,,,,,,,,,,,#000000,,34.36107763873373,,42.30051669590899,-8.348498635122915,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.34282825441539394,-0.2869830453785306,False,False,False,False,-29117,23024.099752370264,False,False,False,False,50033.857636897985,False,False,False,False
2022-05-06 00:00:00+00:00,28.27,31.0,28.1,30.15,12368,,,,,,,,,,,#000000,,34.05421139703557,,39.10871589484114,12.851871024521515,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.34282825441539394,-0.31490564989696224,False,False,False,False,-41485,18245.647918861356,False,False,False,False,47243.79410823887,False,False,False,False
2022-05-13 00:00:00+00:00,24.51,28.25,21.56,28.1,55313,,,,,,,,,,,#000000,,32.16625322385446,,35.16508670403321,7.680914331927951,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.34282825441539394,-0.3288669521561781,False,False,False,False,-96798,9723.89622116792,False,False,False,False,47841.513063184146,False,False,False,False
2022-05-20 00:00:00+00:00,19.86,24.99,17.67,24.99,86624,,,,,,,,,,,#000000,,27.406532935820525,,30.912029424453994,2.368963697085242,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.34282825441539394,-0.335847603285786,False,False,False,False,-183422,-4583.207202622294,False,False,False,False,50714.28987331865,False,False,False,False
2022-05-27 00:00:00+00:00,20.54,22.0,19.0,21.0,21998,,,,,,,,,,,#000000,,27.035117138715574,,28.561618450875432,-0.9988889995092194,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.34282825441539394,-0.33933792885059,False,False,False,False,-161424,-16201.043706131753,False,False,False,False,48587.15729010986,False,False,False,False
