date,Open,High,Low,Close,Volume,aVWAP_peak_863,aVWAP_peak_840,aVWAP_peak_819,aVWAP_peak_786,aVWAP_peak_763,aVWAP_peak_704,aVWAP_peak_685,aVWAP_peak_636,aVWAP_peak_635,aVWAP_peak_621,aVWAP_peak_602,aVWAP_peak_601,aVWAP_peak_581,aVWAP_peak_557,aVWAP_peak_546,aVWAP_peak_514,aVWAP_peak_478,aVWAP_peak_448,aVWAP_peak_391,aVWAP_peak_376,aVWAP_peak_358,aVWAP_peak_311,aVWAP_peak_310,aVWAP_peak_275,aVWAP_peak_262,aVWAP_valley_876,aVWAP_valley_854,aVWAP_valley_834,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,35.295,35.295,34.86,34.86,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,7.0,False,False,False,False
2024-12-19 16:00:00+00:00,34.86,34.86,34.77,34.77,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1.0,-0.015503875968992248,False,False,False,False,6.906976744186046,False,False,False,False
2024-12-19 17:00:00+00:00,34.77,34.77,34.51,34.53,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-95.0,-1.4881317228531938,False,False,False,False,8.257256174508743,False,False,False,False
2024-12-19 18:00:00+00:00,34.53,34.615,34.53,34.615,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-38.0,-2.0542072000182605,False,False,False,False,9.012957629167522,False,False,False,False
2024-12-19 19:00:00+00:00,34.615,34.615,34.495,34.53,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-412.0,-8.409955925599373,False,False,False,False,14.671671464374226,False,False,False,False
2024-12-19 20:00:00+00:00,34.53,34.76,34.49,34.52,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-716.0,-19.380344205822638,False,False,False,False,19.157381984306408,False,False,False,False
2024-12-20 15:00:00+00:00,34.755,35.16,34.755,35.16,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-634.0,-28.90933111736027,False,False,False,False,20.131686139588478,False,False,False,False
2024-12-20 16:00:00+00:00,35.16,35.21,35.115,35.125,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-896.0,-42.35259730158724,False,False,False,False,23.881582478509586,False,False,False,False
2024-12-20 17:00:00+00:00,35.125,35.125,35.125,35.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-896.0,-55.587440754275804,False,False,False,False,23.511325385819514,False,False,False,False
2024-12-20 18:00:00+00:00,35.125,35.21,34.77,34.96,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1111.0,-71.9504261689382,False,False,False,False,26.480142046504483,False,False,False,False
