date,Open,High,Low,Close,Volume,aVWAP_peak_572,aVWAP_peak_525,aVWAP_peak_502,aVWAP_valley_609,aVWAP_valley_598,aVWAP_valley_578,aVWAP_valley_556,aVWAP_valley_537,aVWAP_valley_517,aVWAP_valley_449,aVWAP_valley_420,aVWAP_valley_379,aVWAP_valley_347,aVWAP_valley_314,aVWAP_valley_291,aVWAP_valley_272,aVWAP_valley_255,aVWAP_valley_212,aVWAP_valley_194,aVWAP_valley_174,aVWAP_valley_135,aVWAP_valley_101,aVWAP_valley_91,aVWAP_valley_71,aVWAP_valley_11,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,32.905,33.125,32.77,33.12,15634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,15634.0,False,False,False,False
2023-10-31 16:00:00+00:00,33.775,33.86,33.5,33.555,21565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,21565.0,334.3410852713178,False,False,False,False,15725.953488372093,False,False,False,False
2023-11-01 16:00:00+00:00,33.07,33.22,32.77,33.02,30037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-8472.0,197.80866534463067,False,False,False,False,15947.830178474851,False,False,False,False
2023-11-02 16:00:00+00:00,33.71,34.035,33.585,34.035,16330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,7858.0,316.5713216958767,False,False,False,False,15953.755291986869,False,False,False,False
2023-11-03 16:00:00+00:00,34.45,34.62,34.385,34.385,20435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,28293.0,750.3144019796615,False,False,False,False,16023.231954126606,False,False,False,False
2023-11-06 16:00:00+00:00,34.145,34.38,34.07,34.35,16540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,11753.0,920.898674817186,False,False,False,False,16031.243861814564,False,False,False,False
2023-11-06 20:00:00+00:00,34.35,34.51,34.3,34.475,15802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,27555.0,1333.8304783083925,False,False,False,False,16027.689693414337,False,False,False,False
2023-11-07 16:00:00+00:00,34.66,34.66,34.495,34.52,9040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,36595.0,1880.5152770943087,False,False,False,False,15919.353419097835,False,False,False,False
2023-11-07 20:00:00+00:00,34.52,34.68,34.52,34.675,11117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,47712.0,2591.0809317130015,False,False,False,False,15844.898327328876,False,False,False,False
2023-11-08 16:00:00+00:00,34.66,35.01,34.63,34.945,14938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,62650.0,3522.2269637794666,False,False,False,False,15830.837888145481,False,False,False,False
