date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_39,aVWAP_BoS_CHoCH_bull_74,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,9.72,9.72,9.71,9.71,50836,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,9.72,9.72,9.71,9.71,6002,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,9.72,9.72,9.72,9.72,4893,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,9.72,9.72,9.72,9.72,2,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,9.72,9.72,9.72,9.72,0,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,9.72,9.72,9.71,9.71,2293,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,9.72,9.72,9.71,9.71,12361,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,9.73,9.73,9.72,9.72,2558,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,9.73,9.73,9.73,9.73,132,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,9.73,9.73,9.73,9.73,2,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,9.71,9.72,9.71,9.72,64623,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-19 00:00:00+00:00,9.73,9.73,9.71,9.73,90667,,,9.723333333333334,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-20 00:00:00+00:00,9.71,9.71,9.7,9.71,124311,,,9.713695835542863,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,9.705,9.71,9.7,9.71,35619,,,9.712459839237237,#000000,0,,,0.0,0.0,0.0,0.0
