date,Close,High,Low,Open,Volume,aVWAP_peak_18,aVWAP_peak_17,aVWAP_peak_16,Peaks_avg,color
2021-12-31 00:00:00+00:00,9.72,9.72,9.72,9.72,1105,,,,,#000000
2022-01-07 00:00:00+00:00,9.72,9.72,9.71,9.71,61733,,,,,#000000
2022-01-14 00:00:00+00:00,9.73,9.73,9.71,9.71,17346,,,,,#000000
2022-01-21 00:00:00+00:00,9.705,9.73,9.7,9.72,315220,,,,,#000000
2022-01-28 00:00:00+00:00,9.67,9.71,9.67,9.69,17029,,,,,#000000
2022-02-04 00:00:00+00:00,9.7,9.71,9.7,9.7,14199,,,,,#000000
2022-02-11 00:00:00+00:00,9.71,9.725,9.7,9.7,699948,,,,,#000000
2022-02-18 00:00:00+00:00,9.72,9.72,9.7,9.705,4727,,,,,#000000
2022-02-25 00:00:00+00:00,9.7,9.72,9.7,9.72,962,,,,,#000000
2022-03-04 00:00:00+00:00,9.74,9.77,9.71,9.715,203638,,,,,#000000
2022-03-11 00:00:00+00:00,9.75,9.75,9.7,9.7,164708,,,,,#000000
2022-03-18 00:00:00+00:00,9.76,9.76,9.74,9.75,140618,,,,,#000000
2022-03-25 00:00:00+00:00,9.77,9.77,9.75,9.76,73239,,,,,#000000
2022-04-01 00:00:00+00:00,9.78,9.78,9.75,9.76,68131,,,,,#000000
2022-04-08 00:00:00+00:00,9.81,9.81,9.76,9.76,22843,,,,,#000000
2022-04-15 00:00:00+00:00,9.8,9.81,9.78,9.79,92090,,,,,#000000
2022-04-22 00:00:00+00:00,9.81,9.83,9.7901,9.8,103317,,,9.810033333333335,9.810033333333335,#000000
2022-04-29 00:00:00+00:00,9.8,9.83,9.8,9.82,150516,,9.81,9.810013567581837,9.810006783790918,#000000
2022-05-06 00:00:00+00:00,9.82,9.83,9.8,9.82,294215,9.816666666666666,9.814410381406589,9.813585228361994,9.814887425478416,#000000
2022-05-13 00:00:00+00:00,9.79,9.8,9.7801,9.8,59941,9.81215896770538,9.811515065957032,9.811263271649104,9.811645768437172,#000000
2022-05-20 00:00:00+00:00,9.79,9.79,9.79,9.79,77,9.81215415098725,9.811511783810701,9.81126057905995,9.811642171285968,#000000
2022-05-27 00:00:00+00:00,9.79,9.79,9.79,9.79,58,9.812150524192448,9.81150931220579,9.811258551326157,9.811639462574798,#000000
2022-06-03 00:00:00+00:00,9.79,9.795,9.76,9.79,369321,9.796592008378338,9.798900728916895,9.800077457316439,9.79852339820389,#000000
2022-06-10 00:00:00+00:00,9.7901,9.7901,9.79,9.79,448,9.796587970932427,9.798896203684224,9.800072871094622,9.79851901523709,#000000
2022-06-17 00:00:00+00:00,9.7867,9.7901,9.77,9.7901,24868,9.796112434973722,9.798436427059384,9.799631285620404,9.798060049217836,#000000
2022-06-24 00:00:00+00:00,9.8,9.8,9.7867,9.7867,673,9.796111944976948,9.798434281395272,9.799628559493367,9.798058261955196,#000000
2022-07-01 00:00:00+00:00,9.8,9.81,9.79,9.8,318023,9.797270115758606,9.798843047651886,9.799717950691296,9.798610371367262,#000000
2022-07-08 00:00:00+00:00,9.81,9.81,9.79,9.8,554197,9.799341994831735,9.800247127606093,9.800786183006036,9.80012510181462,#000000
2022-07-15 00:00:00+00:00,9.82,9.82,9.8,9.81,121487,9.800317018029325,9.801086595199273,9.801549431896229,9.800984348374941,#000000
2022-07-22 00:00:00+00:00,9.81,9.82,9.8,9.81,159274,9.801127625546057,9.801778073948087,9.802173595512306,9.801693098335484,#000000
2022-07-29 00:00:00+00:00,9.84,9.84,9.825,9.825,3846,9.801195959179505,9.801840191111994,9.802232037687423,9.801756062659642,#000000
2022-08-05 00:00:00+00:00,9.855,9.86,9.82,9.83,1151768,9.817693296985107,9.817332415644243,9.817104724616442,9.817376812415263,#000000
2022-08-12 00:00:00+00:00,9.87,9.87,9.85,9.86,336158,9.822213233131645,9.821694656428397,9.821364406658248,9.821757432072763,#000000
