date,Open,High,Low,Close,Volume,aVWAP_peak_215,aVWAP_peak_205,aVWAP_peak_204,aVWAP_peak_159,aVWAP_peak_158,aVWAP_peak_157,aVWAP_peak_156,aVWAP_peak_155,aVWAP_peak_135,aVWAP_valley_215,aVWAP_valley_214,aVWAP_valley_203,aVWAP_valley_202,aVWAP_valley_187,aVWAP_valley_164,aVWAP_valley_161,aVWAP_valley_143,aVWAP_valley_142,aVWAP_valley_141,aVWAP_valley_140,aVWAP_valley_139,aVWAP_valley_138,aVWAP_valley_122,aVWAP_valley_120,aVWAP_valley_104,aVWAP_valley_83,aVWAP_valley_82,aVWAP_valley_56,aVWAP_valley_22,aVWAP_valley_21,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,1.81,1.815,1.8,1.81,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,1.815,1.835,1.805,1.825,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,1.825,1.825,1.81,1.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,1.81,1.815,1.81,1.815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,1.815,1.815,1.81,1.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,1.81,1.81,1.805,1.805,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,1.805,1.805,1.8,1.805,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,1.805,1.81,1.8,1.805,799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,1.8,1.805,1.795,1.805,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,1.805,1.805,1.805,1.805,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,1.805,1.815,1.805,1.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,1.81,1.81,1.81,1.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,1.81,1.81,1.8,1.805,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,1.805,1.815,1.805,1.815,406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,1.815,1.815,1.81,1.815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,1.815,1.815,1.8,1.805,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,1.805,1.805,1.805,1.805,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,1.805,1.805,1.805,1.805,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,1.805,1.805,1.805,1.805,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,1.805,1.805,1.805,1.805,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,1.805,1.805,1.805,1.805,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,1.8,1.8,1.8,1.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,1.8,#000000
2025-07-09 15:20:00+00:00,1.8,1.805,1.8,1.805,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,1.8,#000000
2025-07-09 15:25:00+00:00,1.805,1.815,1.805,1.815,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8116666666666665,1.8112179487179485,,1.8114423076923076,#000000
2025-07-09 15:30:00+00:00,1.815,1.815,1.805,1.815,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8116666666666665,1.8114379084967318,,1.8115522875816992,#000000
2025-07-09 15:35:00+00:00,1.815,1.815,1.81,1.815,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.812,1.8118110236220473,,1.8119055118110237,#000000
2025-07-09 15:40:00+00:00,1.815,1.815,1.815,1.815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.812,1.8118110236220473,,1.8119055118110237,#000000
